+--------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   |                                                A_common |                                                  A_cstm |                                                   A_opt |                                                E_common |                                                  E_cstm |                                                   E_opt |                                                L_common |                                                  L_cstm |                                                   L_opt |                                             Util_common |                                               Util_cstm |                                                Util_opt |                                             chip_common |                                               chip_cstm |                                                chip_opt |
+--------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |
|     moe      |             [['LINEAR', '1409.306'], ['SILU', '0.063'], |             [['LINEAR', '1409.306'], ['SILU', '0.063']] |    [['LINEAR', '1409.306'], ['SILU', '0.063'], ['TANH', |                [['LINEAR', '0.000'], ['SILU', '0.000'], |                [['LINEAR', '0.000'], ['SILU', '0.000']] |       [['LINEAR', '0.000'], ['SILU', '0.000'], ['TANH', |                [['LINEAR', '0.255'], ['SILU', '0.001'], |                [['LINEAR', '0.255'], ['SILU', '0.001']] |       [['LINEAR', '0.255'], ['SILU', '0.001'], ['TANH', |      [['LINEAR', '60491376640.000'], ['SILU', '0.000'], |      [['LINEAR', '46440382464.000'], ['SILU', '0.000']] |      [['LINEAR', '54024732672.000'], ['SILU', '0.000'], |      [{'LINEAR', 'SILU', 'ADAPTIVEAVGPOOL2D', 'CONV1D', |                                    [{'LINEAR', 'SILU'}] |                    [{'LINEAR', 'SILU', 'TANH', 'GELU'}] |
|              | ['ADAPTIVEAVGPOOL2D', '0.008'], ['CONV1D', '1409.306'], |                                                         |                            '0.038'], ['GELU', '0.063']] |    ['ADAPTIVEAVGPOOL2D', '0.000'], ['CONV1D', '0.000'], |                                                         |                            '0.000'], ['GELU', '0.000']] |    ['ADAPTIVEAVGPOOL2D', '0.001'], ['CONV1D', '0.255'], |                                                         |                            '0.001'], ['GELU', '0.001']] |              ['ADAPTIVEAVGPOOL2D', '0.000'], ['CONV1D', |                                                         |                   ['TANH', '0.000'], ['GELU', '0.000']] |         'TANH', 'PERMUTE', 'FLATTEN', 'GELU'}, {'RELU', |                                                         |                                                         |
|              |    ['TANH', '0.038'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |                                                         |                                                         |      '86347087872.000'], ['TANH', '0.000'], ['PERMUTE', |                                                         |                                                         |            'AVGPOOL2D', 'ROIALIGN', 'LASTLEVELMAXPOOL', |                                                         |                                                         |
|              |         '0.000'], ['GELU', '0.063'], ['RELU', '0.063'], |                                                         |                                                         |         '0.000'], ['GELU', '0.000'], ['RELU', '0.000'], |                                                         |                                                         |         '0.001'], ['GELU', '0.001'], ['RELU', '0.001'], |                                                         |                                                         |      '0.000'], ['FLATTEN', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |     'CONVTRANSPOSE2D', 'CONV2D', 'MAXPOOL2D', 'RELU6'}] |                                                         |                                                         |
|              |          ['ROIALIGN', '0.008'], ['AVGPOOL2D', '0.008'], |                                                         |                                                         |          ['ROIALIGN', '0.000'], ['AVGPOOL2D', '0.000'], |                                                         |                                                         |          ['ROIALIGN', '0.001'], ['AVGPOOL2D', '0.001'], |                                                         |                                                         | ['RELU', '0.000'], ['ROIALIGN', '0.000'], ['AVGPOOL2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      ['LASTLEVELMAXPOOL', '0.008'], ['CONVTRANSPOSE2D', |                                                         |                                                         |      ['LASTLEVELMAXPOOL', '0.000'], ['CONVTRANSPOSE2D', |                                                         |                                                         |      ['LASTLEVELMAXPOOL', '0.001'], ['CONVTRANSPOSE2D', |                                                         |                                                         |                '0.000'], ['LASTLEVELMAXPOOL', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '1409.306'], ['CONV2D', '1409.306'], ['MAXPOOL2D', |                                                         |                                                         |  '0.000'], ['CONV2D', '0.000'], ['MAXPOOL2D', '0.000'], |                                                         |                                                         |  '0.255'], ['CONV2D', '0.255'], ['MAXPOOL2D', '0.001'], |                                                         |                                                         |         ['CONVTRANSPOSE2D', '12845056.000'], ['CONV2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                           '0.008'], ['RELU6', '0.063']] |                                                         |                                                         |                                     ['RELU6', '0.000']] |                                                         |                                                         |                                     ['RELU6', '0.001']] |                                                         |                                                         |  '199270896896.000'], ['MAXPOOL2D', '0.000'], ['RELU6', |                                                         |                                                         |                                                         |                                                         |                                                         |
