+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   | ANC-Gen | ANC-Cstm | ANC-Opt | AEC-Gen | AEC-Cstm | AEC-Opt | CNU-Gen | CNU-Cstm | CNU-Opt | CEU-Gen | CEU-Cstm | CEU-Opt |                                              Config-Gen |                                             Config-Cstm |                                              Config-Opt |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |         |          |         |         |          |         |         |          |         |         |          |         |                                                         |                                                         |                                                         |
|     moe      | 100.000 |  100.000 | 100.000 | 100.000 |  100.000 | 100.000 |   0.125 |    1.000 |   0.500 |   0.080 |    1.000 |   0.500 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |         ['LINEAR', 'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU', |                                      ['LINEAR', 'SILU'] |                      ['LINEAR', 'SILU', 'TANH', 'GELU'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |   'ROIALIGN', 'CONV1D', 'AVGPOOL2D', 'TANH', 'PERMUTE', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'LASTLEVELMAXPOOL', 'CONVTRANSPOSE2D', 'FLATTEN', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 'CONV2D', 'MAXPOOL2D', 'GELU', 'RELU6'] |                                                         |                                                         |
|   whisper    | 100.000 |  100.000 | 100.000 | 100.000 |  100.000 | 100.000 |   0.188 |    1.000 |   1.000 |   0.160 |    1.000 |   1.000 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |         ['LINEAR', 'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU', |                            ['LINEAR', 'CONV1D', 'GELU'] |                            ['LINEAR', 'CONV1D', 'GELU'] |
