+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   | ANC-Gen | ANC-Cstm | ANC-Opt | AEC-Gen | AEC-Cstm | AEC-Opt | CNU-Gen | CNU-Cstm | CNU-Opt | CEU-Gen | CEU-Cstm | CEU-Opt |                                              Config-Gen |                                             Config-Cstm |                                              Config-Opt |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |         |          |         |         |          |         |         |          |         |         |          |         |                                                         |                                                         |                                                         |
|     moe      | 100.000 |  100.000 | 100.000 | 100.000 |  100.000 | 100.000 |   0.125 |    1.000 |   0.500 |   0.080 |    1.000 |   0.500 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 ['CONV2D', 'TANH', 'FLATTEN', 'LINEAR', |                                      ['SILU', 'LINEAR'] |                      ['SILU', 'LINEAR', 'TANH', 'GELU'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'CONVTRANSPOSE2D', 'PERMUTE', 'GELU', 'AVGPOOL2D', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |      'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU6', 'MAXPOOL2D', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'CONV1D', 'LASTLEVELMAXPOOL', 'RELU', 'ROIALIGN'] |                                                         |                                                         |
|   whisper    | 100.000 |  100.000 | 100.000 | 100.000 |  100.000 | 100.000 |   0.188 |    1.000 |   1.000 |   0.160 |    1.000 |   1.000 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 ['CONV2D', 'TANH', 'FLATTEN', 'LINEAR', |                            ['CONV1D', 'GELU', 'LINEAR'] |                            ['CONV1D', 'GELU', 'LINEAR'] |
