+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   | ANC-Gen | ANC-Cstm | ANC-Opt | AEC-Gen | AEC-Cstm | AEC-Opt | CNU-Gen | CNU-Cstm | CNU-Opt | CEU-Gen | CEU-Cstm | CEU-Opt |                                              Config-Gen |                                             Config-Cstm |                                              Config-Opt |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |         |          |         |         |          |         |         |          |         |         |          |         |                                                         |                                                         |                                                         |
|     moe      | 100.000 |  100.000 | 100.000 | 100.000 |  100.000 | 100.000 |   0.125 |    1.000 |   0.500 |   0.182 |    1.000 |   0.500 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     16} |                                                     16} |                                                     16} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |  ['AVGPOOL2D', 'ROIALIGN', 'ADAPTIVEAVGPOOL2D', 'GELU', |                                      ['SILU', 'LINEAR'] |                      ['SILU', 'TANH', 'LINEAR', 'GELU'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          'LINEAR', 'MAXPOOL2D', 'RELU', 'SILU', 'TANH', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |        'CONV1D', 'CONV2D', 'RELU6', 'LASTLEVELMAXPOOL', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                'PERMUTE', 'FLATTEN', 'CONVTRANSPOSE2D'] |                                                         |                                                         |
|   whisper    | 100.000 |  100.000 | 100.000 |  94.464 |   94.464 |  94.464 |   0.188 |    1.000 |   1.000 |   0.273 |    1.000 |   1.000 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     16} |                                                     16} |                                                     16} |
