+--------------+-------+--------+-------+--------+----------+----------+----------+---------+------------+------------+------------+---------+--------+---------+--------+---------+-----------+------------+----------------+-----------+------------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+--------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+
|  Algorithm   | A-Gen | A-Cstm | A-Opt |    A-% |    L-Gen |   L-Cstm |    L-Opt |     L-% |      E-Gen |     E-Cstm |      E-Opt |     E-% | pD-Gen | pD-Cstm | pD-Opt |    pD-% | c2c-Opt-L | c2c-Cstm-L | noc_c2c diff-L | c2c-Opt-E | c2c-Cstm-E | noc_c2c diff-E |                                                                                                                                                                                                                                                                                   Debug-Gen |                                                                                                                                                                                                                                                                                  Debug-Cstm |                                                                                                                                                                                                                                                                                   Debug-Opt |      RE-Gen |    RE-Cstm |     RE-Opt |                                                                      DDR Latency-Gen |                                                                     DDR Latency-Cstm |                                                                      DDR Latency-Opt |
+--------------+-------+--------+-------+--------+----------+----------+----------+---------+------------+------------+------------+---------+--------+---------+--------+---------+-----------+------------+----------------+-----------+------------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+--------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+
| Training set |       |        |       |        |          |          |          |         |            |            |            |         |        |         |        |         |           |            |                |           |            |                |                                                                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                             |             |            |            |                                                                                      |                                                                                      |                                                                                      |
|   whisper    | 16.00 |   6.25 |  6.25 | 0.000% | 3669.191 | 3664.785 | 3664.785 |  0.000% | 344092.216 | 343335.623 | 343335.623 |  0.000% |  5.861 |  14.990 | 14.990 |  0.000% |   0.05009 |    0.05009 |          0.000 |   6.31792 |    6.31792 |          0.000 |                                                                                                                                                              [['CONV1D', '0.000', '8294400000000000.000'], ['LINEAR', '0.000', '2301590400000000000.000'], ['GELU', '0.000', '245760.000']] |                                                                                                                                                              [['CONV1D', '0.000', '8294400000000000.000'], ['LINEAR', '0.000', '2301590400000000000.000'], ['GELU', '0.000', '245760.000']] |                                                                                                                                                              [['CONV1D', '0.000', '8294400000000000.000'], ['LINEAR', '0.000', '2301590400000000000.000'], ['GELU', '0.000', '245760.000']] | 1173467.263 | 567826.888 | 567852.978 |                                     [664157706.25, 345622911.25, 19682650.000000004] |                                     [664157706.25, 345622911.25, 19682650.000000004] |                                     [664157706.25, 345622911.25, 19682650.000000004] |
|     gpt      | 16.00 |   4.00 |  4.00 | 0.000% |    7.131 |    7.131 |    7.131 |  0.000% |   1116.162 |   1116.162 |   1116.162 |  0.000% |  9.782 |  39.129 | 39.129 |  0.000% |   0.00000 |    0.00000 |          0.000 |   0.00000 |    0.00000 |          0.000 |                                                                                                                                                                                                               [['CONV1D', '0.000', '10871635968000000.000'], ['GELU', '0.000', '3538.944']] |                                                                                                                                                                                                               [['CONV1D', '0.000', '10871635968000000.000'], ['GELU', '0.000', '3538.944']] |                                                                                                                                                                                                               [['CONV1D', '0.000', '10871635968000000.000'], ['GELU', '0.000', '3538.944']] | 1173467.263 | 373822.179 | 373822.179 |                                                              [871002327.5, 755702.5] |                                                              [871002327.5, 755702.5] |                                                              [871002327.5, 755702.5] |
|     dpt      | 16.00 |   4.00 |  4.00 | 0.000% |  119.728 |  119.687 |  119.687 |  0.000% |   7095.581 |   7088.391 |   7088.391 |  0.000% |  3.704 |  14.806 | 14.806 |  0.000% |   0.00000 |    0.00000 |          0.000 |   0.00000 |    0.00000 |          0.000 |                                                                                                                                                                                  [['LINEAR', '0.000', '59395538944000000.000'], ['GELU', '0.000', '28901.376'], ['TANH', '0.000', '8.731']] |                                                                                                                                                                                  [['LINEAR', '0.000', '59395538944000000.000'], ['GELU', '0.000', '28901.376'], ['TANH', '0.000', '8.731']] |                                                                                                                                                                                  [['LINEAR', '0.000', '59395538944000000.000'], ['GELU', '0.000', '28901.376'], ['TANH', '0.000', '8.731']] | 1173467.263 | 373941.779 | 374361.821 |                                            [31211427.5, 3086172.4999999995, 32165.0] |                                            [31211427.5, 3086172.4999999995, 32165.0] |                                            [31211427.5, 3086172.4999999995, 32165.0] |
|    llama     | 16.00 |   4.00 |  4.00 | 0.000% |  373.398 |  373.398 |  373.398 |  0.000% |  97261.467 |  97261.467 |  97261.467 |  0.000% | 16.280 |  65.119 | 65.119 |  0.000% |   0.00000 |    0.00000 |          0.000 |   0.00000 |    0.00000 |          0.000 |                                                                                                                                                                                                             [['LINEAR', '0.000', '893353197568000000.000'], ['SILU', '0.000', '33554.432']] |                                                                                                                                                                                                             [['LINEAR', '0.000', '893353197568000000.000'], ['SILU', '0.000', '33554.432']] |                                                                                                                                                                                                             [['LINEAR', '0.000', '893353197568000000.000'], ['SILU', '0.000', '33554.432']] | 1173467.263 | 373822.179 | 374361.821 |                                                             [585067352.5, 2687260.0] |                                                             [585067352.5, 2687260.0] |                                                             [585067352.5, 2687260.0] |
|     dino     | 16.00 |   4.00 |  4.00 | 0.000% |  128.400 |  128.346 |  128.346 |  0.000% |   8773.258 |   8763.867 |   8763.867 |  0.000% |  4.270 |  17.071 | 17.071 |  0.000% |   0.00000 |    0.00000 |          0.000 |   0.00000 |    0.00000 |          0.000 |                                                                                                                                                                                                              [['LINEAR', '0.000', '77309411328000000.000'], ['GELU', '0.000', '37748.736']] |                                                                                                                                                                                                              [['LINEAR', '0.000', '77309411328000000.000'], ['GELU', '0.000', '37748.736']] |                                                                                                                                                                                                              [['LINEAR', '0.000', '77309411328000000.000'], ['GELU', '0.000', '37748.736']] | 1173467.263 | 373822.179 | 374361.821 |                                                     [33221660.0, 4030890.0000000005] |                                                     [33221660.0, 4030890.0000000005] |                                                     [33221660.0, 4030890.0000000005] |
|    vgg16     | 16.00 |   6.25 |  6.25 | 0.000% |   21.005 |   20.974 |   20.974 |  0.000% |   1531.509 |   1526.177 |   1526.177 |  0.000% |  4.557 |  11.643 | 11.643 |  0.000% |   0.00108 |    0.00108 |          0.000 |   0.13647 |    0.13647 |          0.000 |                                                                                         [['CONV2D', '0.000', '15346630656000000.000'], ['RELU', '0.000', '847.232'], ['MAXPOOL2D', '0.000', '95.648'], ['ADAPTIVEAVGPOOL2D', '0.000', '1.568'], ['LINEAR', '0.000', '123633664000000.000']] |                                                                                         [['CONV2D', '0.000', '15346630656000000.000'], ['RELU', '0.000', '847.232'], ['MAXPOOL2D', '0.000', '95.648'], ['ADAPTIVEAVGPOOL2D', '0.000', '1.568'], ['LINEAR', '0.000', '123633664000000.000']] |                                                                                         [['CONV2D', '0.000', '15346630656000000.000'], ['RELU', '0.000', '847.232'], ['MAXPOOL2D', '0.000', '95.648'], ['ADAPTIVEAVGPOOL2D', '0.000', '1.568'], ['LINEAR', '0.000', '123633664000000.000']] | 1173467.263 | 567851.728 | 568443.550 |                              [1229205020.0, 2171202.5, 612251.25, 3942.5, 9891185.0] |                              [1229205020.0, 2171202.5, 612251.25, 3942.5, 9891185.0] |                              [1229205020.0, 2171202.5, 612251.25, 3942.5, 9891185.0] |
|   resnet18   | 16.00 |   6.25 |  6.25 | 0.000% |    1.348 |    1.344 |    1.344 |  0.000% |     94.520 |     93.979 |     93.979 |  0.000% |  4.384 |  11.184 | 11.184 |  0.000% |   0.00001 |    0.00001 |          0.000 |   0.00168 |    0.00168 |          0.000 |                                                                                               [['CONV2D', '0.000', '895008768000000.000'], ['RELU', '0.000', '84.304'], ['MAXPOOL2D', '0.000', '12.544'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.032'], ['LINEAR', '0.000', '512000000000.000']] |                                                                                               [['CONV2D', '0.000', '895008768000000.000'], ['RELU', '0.000', '84.304'], ['MAXPOOL2D', '0.000', '12.544'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.032'], ['LINEAR', '0.000', '512000000000.000']] |                                                                                               [['CONV2D', '0.000', '895008768000000.000'], ['RELU', '0.000', '84.304'], ['MAXPOOL2D', '0.000', '12.544'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.032'], ['LINEAR', '0.000', '512000000000.000']] | 1173467.263 | 567851.728 | 568443.550 |                                   [71847133.75, 216037.5, 80311.25, 102.5, 41058.75] |                                   [71847133.75, 216037.5, 80311.25, 102.5, 41058.75] |                                   [71847133.75, 216037.5, 80311.25, 102.5, 41058.75] |
| densenet121  | 16.00 |   6.25 |  6.25 | 0.000% |    4.216 |    4.201 |    4.201 |  0.000% |    308.826 |    306.275 |    306.275 |  0.000% |  4.578 |  11.665 | 11.665 |  0.000% |   0.00004 |    0.00000 |         -0.000 |   0.00516 |    0.00000 |          0.000 |                                                                                                   [['CONV2D', '0.000', '2833137664000000.000'], ['RELU', '0.000', '410.718'], ['MAXPOOL2D', '0.000', '12.544'], ['AVGPOOL2D', '0.000', '10.976'], ['LINEAR', '0.000', '1024000000000.000']] |                                                                                                   [['CONV2D', '0.000', '2833137664000000.000'], ['RELU', '0.000', '410.718'], ['MAXPOOL2D', '0.000', '12.544'], ['AVGPOOL2D', '0.000', '10.976'], ['LINEAR', '0.000', '1024000000000.000']] |                                                                                                   [['CONV2D', '0.000', '2833137664000000.000'], ['RELU', '0.000', '410.718'], ['MAXPOOL2D', '0.000', '12.544'], ['AVGPOOL2D', '0.000', '10.976'], ['LINEAR', '0.000', '1024000000000.000']] | 1173467.263 | 511355.161 | 568443.550 |                              [228327763.75, 1050092.5, 80311.25, 70153.75, 82026.25] |                              [228327763.75, 1050092.5, 80311.25, 70153.75, 82026.25] |                              [228327763.75, 1050092.5, 80311.25, 70153.75, 82026.25] |
