+--------------+--------+--------+-------+--------+----------+----------+----------+---------+------------+------------+------------+---------+--------+---------+--------+---------+-----------+------------+----------------+-------------+------------+--------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+-------------+-----------------+------------------+-----------------+----------------------------------------+-----------------------------------------+-------------------+------------------+-----------------------------------------+------------------+-----------------+----------------------------------------+
|  Algorithm   |  A-Gen | A-Cstm | A-Opt |    A-% |    L-Gen |   L-Cstm |    L-Opt |     L-% |      E-Gen |     E-Cstm |      E-Opt |     E-% | pD-Gen | pD-Cstm | pD-Opt |    pD-% | c2c-Opt-L | c2c-Cstm-L | noc_c2c diff-L |   c2c-Opt-E | c2c-Cstm-E | network_c2c diff-E |                                                                                                                                                                                                                                                                                   Debug-Gen |                                                                                                                                                                                                                                                                                  Debug-Cstm |                                                                                                                                                                                                                                                                                   Debug-Opt |      RE-Gen |     RE-Cstm |      RE-Opt | DDR Latency-Gen | DDR Latency-Cstm | DDR Latency-Opt | DDR latency- error between gen and opt | DDR latency- error between cstm and opt | noc latency- cstm | noc latency- opt | noc latency- error between cstm and opt | noc energy- cstm | noc energy- opt | noc energy- error between cstm and opt |
+--------------+--------+--------+-------+--------+----------+----------+----------+---------+------------+------------+------------+---------+--------+---------+--------+---------+-----------+------------+----------------+-------------+------------+--------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+-------------+-----------------+------------------+-----------------+----------------------------------------+-----------------------------------------+-------------------+------------------+-----------------------------------------+------------------+-----------------+----------------------------------------+
| Training set |        |        |       |        |          |          |          |         |            |            |            |         |        |         |        |         |           |            |                |             |            |                    |                                                                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                             |             |             |             |                 |                  |                 |                                        |                                         |                   |                  |                                         |                  |                 |                                        |
|   whisper    | 110.25 |  90.25 | 90.25 | 0.000% | 1493.756 | 1292.369 | 1296.774 |  0.341% | 344092.216 | 343335.623 | 344092.216 |  0.220% |  2.089 |   2.944 |  2.940 | -0.120% | 105.83160 |    0.05009 |          0.000 | 13349.75533 |    6.31792 |              0.000 |                                                                                                                                                               [['CONV1D', '0.000', '8294400000000000.000'], ['LINEAR', '0.000', '2301590400000000000.000'], ['GELU', '0.000', '61440.000']] |                                                                                                                                                               [['CONV1D', '0.000', '8294400000000000.000'], ['LINEAR', '0.000', '2301590400000000000.000'], ['GELU', '0.000', '61440.000']] |                                                                                                                                                               [['CONV1D', '0.000', '8294400000000000.000'], ['LINEAR', '0.000', '2301590400000000000.000'], ['GELU', '0.000', '61440.000']] | 6719125.799 | 5472610.629 | 5474769.284 |        1029.463 |         1029.463 |        1029.463 |                                 0.000% |                                  0.000% |          1036.896 |          935.520 |                                 -9.777% |       128741.007 |      116154.163 |                                -9.777% |
|     gpt      | 110.25 |  90.25 | 90.25 | 0.000% |    2.189 |    2.112 |    2.112 |  0.000% |   1116.162 |   1116.162 |   1116.162 |  0.000% |  4.624 |   5.857 |  5.857 |  0.000% |   0.00000 |    0.00000 |          0.000 |     0.00000 |    0.00000 |              0.000 |                                                                                                                                                                                                                [['CONV1D', '0.000', '10871635968000000.000'], ['GELU', '0.000', '884.736']] |                                                                                                                                                                                                                [['CONV1D', '0.000', '10871635968000000.000'], ['GELU', '0.000', '884.736']] |                                                                                                                                                                                                                [['CONV1D', '0.000', '10871635968000000.000'], ['GELU', '0.000', '884.736']] | 6719125.799 | 5873038.575 | 5873829.045 |         871.758 |          871.758 |         871.758 |                                 0.000% |                                  0.000% |             0.855 |            0.855 |                                  0.000% |          106.187 |         106.187 |                                 0.000% |
|     dpt      | 110.25 |  90.25 | 90.25 | 0.000% |   22.124 |   20.971 |   20.971 |  0.000% |   7095.581 |   7088.391 |   7088.391 |  0.000% |  2.909 |   3.745 |  3.745 |  0.000% |   0.00000 |    0.00000 |          0.000 |     0.00000 |    0.00000 |              0.000 |                                                                                                                                                                                   [['LINEAR', '0.000', '59395538944000000.000'], ['GELU', '0.000', '7225.344'], ['TANH', '0.000', '2.183']] |                                                                                                                                                                                   [['LINEAR', '0.000', '59395538944000000.000'], ['GELU', '0.000', '7225.344'], ['TANH', '0.000', '2.183']] |                                                                                                                                                                                   [['LINEAR', '0.000', '59395538944000000.000'], ['GELU', '0.000', '7225.344'], ['TANH', '0.000', '2.183']] | 6719125.799 | 5873517.017 | 5875197.325 |          34.330 |           34.330 |          34.330 |                                 0.000% |                                  0.000% |            12.649 |           12.649 |                                  0.000% |         1570.546 |        1570.546 |                                 0.000% |
|    llama     | 110.25 |  90.25 | 90.25 | 0.000% |  157.143 |  141.542 |  141.542 |  0.000% |  97264.597 |  97261.467 |  97261.467 |  0.000% |  5.614 |   7.614 |  7.614 |  0.000% |   0.00000 |    0.00000 |          0.000 |     0.00000 |    0.00000 |              0.000 |                                                                                                                                                                                                              [['LINEAR', '0.000', '893353197568000000.000'], ['SILU', '0.000', '8388.608']] |                                                                                                                                                                                                              [['LINEAR', '0.000', '893353197568000000.000'], ['SILU', '0.000', '8388.608']] |                                                                                                                                                                                                              [['LINEAR', '0.000', '893353197568000000.000'], ['SILU', '0.000', '8388.608']] | 6719125.799 | 5873038.575 | 5875197.325 |         587.755 |          587.755 |         587.755 |                                 0.000% |                                  0.000% |           114.924 |          114.924 |                                  0.000% |        14268.955 |       14268.955 |                                 0.000% |
|     dino     | 110.25 |  90.25 | 90.25 | 0.000% |   24.429 |   23.267 |   23.267 |  0.000% |   8773.258 |   8763.867 |   8763.867 |  0.000% |  3.258 |   4.174 |  4.174 |  0.000% |   0.00000 |    0.00000 |          0.000 |     0.00000 |    0.00000 |              0.000 |                                                                                                                                                                                                               [['LINEAR', '0.000', '77309411328000000.000'], ['GELU', '0.000', '9437.184']] |                                                                                                                                                                                                               [['LINEAR', '0.000', '77309411328000000.000'], ['GELU', '0.000', '9437.184']] |                                                                                                                                                                                                               [['LINEAR', '0.000', '77309411328000000.000'], ['GELU', '0.000', '9437.184']] | 6719125.799 | 5873038.575 | 5875197.325 |          37.253 |           37.253 |          37.253 |                                 0.000% |                                  0.000% |            12.740 |           12.740 |                                  0.000% |         1581.823 |        1581.823 |                                 0.000% |
|    vgg16     | 110.25 |  90.25 | 90.25 | 0.000% |    3.615 |    2.055 |    2.031 | -1.186% |   1531.233 |   1530.364 |   1526.177 | -0.274% |  3.842 |   8.251 |  8.327 |  0.924% |   0.00108 |    0.58640 |          0.000 |     0.13647 |   73.96847 |              0.000 |                                                                                         [['CONV2D', '0.000', '15346630656000000.000'], ['RELU', '0.000', '211.808'], ['MAXPOOL2D', '0.000', '23.912'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.392'], ['LINEAR', '0.000', '123633664000000.000']] |                                                                                         [['CONV2D', '0.000', '15346630656000000.000'], ['RELU', '0.000', '211.808'], ['MAXPOOL2D', '0.000', '23.912'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.392'], ['LINEAR', '0.000', '123633664000000.000']] |                                                                                         [['CONV2D', '0.000', '15346630656000000.000'], ['RELU', '0.000', '211.808'], ['MAXPOOL2D', '0.000', '23.912'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.392'], ['LINEAR', '0.000', '123633664000000.000']] | 6719125.799 | 5469547.774 | 5470719.766 |        1241.884 |         1234.949 |        1234.949 |                                -0.561% |                                  0.000% |             0.155 |            0.716 |                                362.588% |           19.208 |          88.853 |                               362.593% |
|   resnet18   | 110.25 |  90.25 | 90.25 | 0.000% |    0.328 |    0.257 |    0.257 |  0.000% |     94.483 |     93.979 |     93.979 |  0.000% |  2.613 |   4.046 |  4.046 |  0.000% |   0.00001 |    0.00001 |          0.000 |     0.00168 |    0.00168 |              0.000 |                                                                                                [['CONV2D', '0.000', '895008768000000.000'], ['RELU', '0.000', '21.076'], ['MAXPOOL2D', '0.000', '3.136'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.008'], ['LINEAR', '0.000', '512000000000.000']] |                                                                                                [['CONV2D', '0.000', '895008768000000.000'], ['RELU', '0.000', '21.076'], ['MAXPOOL2D', '0.000', '3.136'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.008'], ['LINEAR', '0.000', '512000000000.000']] |                                                                                                [['CONV2D', '0.000', '895008768000000.000'], ['RELU', '0.000', '21.076'], ['MAXPOOL2D', '0.000', '3.136'], ['ADAPTIVEAVGPOOL2D', '0.000', '0.008'], ['LINEAR', '0.000', '512000000000.000']] | 6719125.799 | 5469448.410 | 5470719.766 |          72.185 |           72.185 |          72.185 |                                 0.000% |                                  0.000% |             0.087 |            0.087 |                                  0.000% |           10.784 |          10.784 |                                 0.000% |
| densenet121  | 110.25 |  90.25 | 90.25 | 0.000% |    1.111 |    0.934 |    0.934 |  0.000% |    308.826 |    306.275 |    306.275 |  0.000% |  2.522 |   3.635 |  3.635 | -0.000% |   0.00004 |    0.00000 |         -0.000 |     0.00516 |    0.00000 |              0.000 |                                                                                                     [['CONV2D', '0.000', '2833137664000000.000'], ['RELU', '0.000', '102.687'], ['MAXPOOL2D', '0.000', '3.136'], ['AVGPOOL2D', '0.000', '2.744'], ['LINEAR', '0.000', '1024000000000.000']] |                                                                                                     [['CONV2D', '0.000', '2833137664000000.000'], ['RELU', '0.000', '102.687'], ['MAXPOOL2D', '0.000', '3.136'], ['AVGPOOL2D', '0.000', '2.744'], ['LINEAR', '0.000', '1024000000000.000']] |                                                                                                     [['CONV2D', '0.000', '2833137664000000.000'], ['RELU', '0.000', '102.687'], ['MAXPOOL2D', '0.000', '3.136'], ['AVGPOOL2D', '0.000', '2.744'], ['LINEAR', '0.000', '1024000000000.000']] | 6719125.799 | 5866713.861 | 5470719.766 |         229.610 |          229.610 |         229.610 |                                 0.000% |                                  0.000% |             0.346 |            0.346 |                                 -0.012% |           42.981 |          42.976 |                                -0.011% |
