+--------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   |                                                A_common |                                                  A_cstm |                                                   A_opt |                                                E_common |                                                  E_cstm |                                                   E_opt |                                                L_common |                                                  L_cstm |                                                   L_opt |                                             Util_common |                                               Util_cstm |                                                Util_opt |                                             chip_common |                                               chip_cstm |                                                chip_opt |
+--------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |
|   whisper    |           [['ROIALIGN', '0.008'], ['LINEAR', '21.825'], |   [['CONV1D', '43.910'], ['LINEAR', '43.910'], ['GELU', |     [['CONV1D', '43.910'], ['GELU', '0.063'], ['PRELU', |            [['ROIALIGN', '0.000'], ['LINEAR', '0.000'], |     [['CONV1D', '0.000'], ['LINEAR', '0.000'], ['GELU', |      [['CONV1D', '0.000'], ['GELU', '0.000'], ['PRELU', |            [['ROIALIGN', '0.001'], ['LINEAR', '0.001'], |     [['CONV1D', '0.001'], ['LINEAR', '0.001'], ['GELU', |      [['CONV1D', '0.001'], ['GELU', '0.001'], ['PRELU', |                      [['ROIALIGN', '0.000'], ['LINEAR', |               [['CONV1D', '8294400000.000'], ['LINEAR', |       [['CONV1D', '8294400000.000'], ['GELU', '0.001'], |             [{'ROIALIGN', 'LINEAR', 'FLATTEN', 'RELU6', |                        [{'CONV1D'}, {'LINEAR', 'GELU'}] |        [{'CONV1D', 'GELU', 'PRELU'}, {'LINEAR', 'SILU', |
|              |               ['FLATTEN', '0.000'], ['RELU6', '0.063'], |                                               '0.063']] |      '0.063'], ['LINEAR', '43.910'], ['SILU', '0.063'], |               ['FLATTEN', '0.000'], ['RELU6', '0.000'], |                                               '0.000']] |       '0.000'], ['LINEAR', '0.000'], ['SILU', '0.000'], |               ['FLATTEN', '0.001'], ['RELU6', '0.001'], |                                               '0.001']] |       '0.001'], ['LINEAR', '0.001'], ['SILU', '0.001'], |   '3378493797376.000'], ['FLATTEN', '2.000'], ['RELU6', |                '2301590400000.000'], ['GELU', '0.061']] |    ['PRELU', '0.000'], ['LINEAR', '2301590400000.000'], |        'MOBILEBERTPOOLER', 'TANH'}, {'CONVTRANSPOSE1D', |                                                         |        'MOBILEBERTPOOLER', 'RELU', 'TANH', 'GELU_dup'}] |
|              |       ['MOBILEBERTPOOLER', '0.008'], ['TANH', '0.038'], |                                                         |   ['MOBILEBERTPOOLER', '0.008'], ['GELU_dup', '0.063'], |       ['MOBILEBERTPOOLER', '0.000'], ['TANH', '0.000'], |                                                         |   ['MOBILEBERTPOOLER', '0.000'], ['GELU_dup', '0.000'], |       ['MOBILEBERTPOOLER', '0.001'], ['TANH', '0.001'], |                                                         |   ['MOBILEBERTPOOLER', '0.001'], ['GELU_dup', '0.001'], |       '0.000'], ['MOBILEBERTPOOLER', '0.000'], ['TANH', |                                                         |       ['SILU', '0.009'], ['MOBILEBERTPOOLER', '0.000'], |     'AVGPOOL2D', 'CONVTRANSPOSE2D', 'RELU'}, {'CONV1D', |                                                         |                                                         |
|              |  ['CONVTRANSPOSE1D', '21.825'], ['AVGPOOL2D', '0.008'], |                                                         |                   ['RELU', '0.063'], ['TANH', '0.038']] |   ['CONVTRANSPOSE1D', '0.000'], ['AVGPOOL2D', '0.000'], |                                                         |                   ['RELU', '0.000'], ['TANH', '0.000']] |   ['CONVTRANSPOSE1D', '0.001'], ['AVGPOOL2D', '0.001'], |                                                         |                   ['RELU', '0.001'], ['TANH', '0.001']] |             '0.000'], ['CONVTRANSPOSE1D', '49152.000'], |                                                         |      ['GELU_dup', '0.061'], ['RELU', '0.006'], ['TANH', |      'GELU', 'PRELU'}, {'SILU', 'MEANSHIFT', 'SIGMOID', |                                                         |                                                         |
|              |       ['CONVTRANSPOSE2D', '21.825'], ['RELU', '0.063'], |                                                         |                                                         |        ['CONVTRANSPOSE2D', '0.000'], ['RELU', '0.000'], |                                                         |                                                         |        ['CONVTRANSPOSE2D', '0.001'], ['RELU', '0.001'], |                                                         |                                                         |             ['AVGPOOL2D', '0.000'], ['CONVTRANSPOSE2D', |                                                         |                                               '0.000']] | 'MAXPOOL2D', 'LASTLEVELMAXPOOL', 'UPSAMPLER', 'CONV2D', |                                                         |                                                         |
|              |      ['CONV1D', '21.825'], ['GELU', '0.063'], ['PRELU', |                                                         |                                                         |       ['CONV1D', '0.000'], ['GELU', '0.000'], ['PRELU', |                                                         |                                                         |       ['CONV1D', '0.001'], ['GELU', '0.001'], ['PRELU', |                                                         |                                                         |          '12845056.000'], ['RELU', '0.007'], ['CONV1D', |                                                         |                                                         |                        'ADAPTIVEAVGPOOL2D', 'PERMUTE'}] |                                                         |                                                         |
|              |    '0.063'], ['SILU', '0.063'], ['MEANSHIFT', '0.002'], |                                                         |                                                         |    '0.000'], ['SILU', '0.000'], ['MEANSHIFT', '0.000'], |                                                         |                                                         |    '0.001'], ['SILU', '0.001'], ['MEANSHIFT', '0.001'], |                                                         |                                                         |        '20458242048.000'], ['GELU', '0.079'], ['PRELU', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |           ['SIGMOID', '0.038'], ['MAXPOOL2D', '0.008'], |                                                         |                                                         |           ['SIGMOID', '0.000'], ['MAXPOOL2D', '0.000'], |                                                         |                                                         |           ['SIGMOID', '0.001'], ['MAXPOOL2D', '0.001'], |                                                         |                                                         |    '0.000'], ['SILU', '0.010'], ['MEANSHIFT', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
