+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   | ANC-Gen | ANC-Cstm | ANC-Opt | AEC-Gen | AEC-Cstm | AEC-Opt | CNU-Gen | CNU-Cstm | CNU-Opt | CEU-Gen | CEU-Cstm | CEU-Opt |                                              Config-Gen |                                             Config-Cstm |                                              Config-Opt |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |         |          |         |         |          |         |         |          |         |         |          |         |                                                         |                                                         |                                                         |
|   whisper    | 100.000 |  100.000 | 100.000 |  90.219 |   99.995 |  90.219 |   0.136 |    1.000 |   0.333 |   0.069 |    1.000 |   0.222 |                {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, |                {'row_PE': 64, 'col_PE': 64, 'n_SA': 16, |                {'row_PE': 64, 'col_PE': 64, 'n_SA': 16, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |            'no_modules_act': 64, 'no_modules_pool': 64} |            'no_modules_act': 64, 'no_modules_pool': 64} |            'no_modules_act': 64, 'no_modules_pool': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          ['ROIALIGN', 'LINEAR', 'SIGMOID', 'MAXPOOL2D', |                            ['CONV1D', 'LINEAR', 'GELU'] |           ['CONV1D', 'GELU', 'PRELU', 'LINEAR', 'SILU', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |   'MOBILEBERTPOOLER', 'AVGPOOL2D', 'PERMUTE', 'CONV1D', |                                                         |         'MOBILEBERTPOOLER', 'GELU_dup', 'RELU', 'TANH'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |           'SILU', 'MEANSHIFT', 'PRELU', 'RELU', 'TANH', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |        'FLATTEN', 'RELU6', 'CONV2D', 'CONVTRANSPOSE2D', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          'CONVTRANSPOSE1D', 'LASTLEVELMAXPOOL', 'GELU', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                       'UPSAMPLER', 'ADAPTIVEAVGPOOL2D'] |                                                         |                                                         |
