+------+----------+-------------------+------------+----------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   | out_size | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+-------------------+------------+----------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  3   |    0     |       conv2d      | (224, 224) | (55, 55) |          3          |          64          |   (11, 11)  | (4, 4) |  (2, 2) |   1    |   1   |
|  4   |    1     |        relu       |  (55, 55)  | (55, 55) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  5   |    2     |     maxpool2d     |  (55, 55)  | (27, 27) |          64         |          64          |      3      |   2    |    0    |   1    |   1   |
|  6   |    3     |       conv2d      |  (27, 27)  | (27, 27) |          64         |         192          |    (5, 5)   | (1, 1) |  (2, 2) |   1    |   1   |
|  7   |    4     |        relu       |  (27, 27)  | (27, 27) |         192         |         192          |      -      |   -    |    -    |   1    |   1   |
|  8   |    5     |     maxpool2d     |  (27, 27)  | (13, 13) |         192         |         192          |      3      |   2    |    0    |   1    |   1   |
|  9   |    6     |       conv2d      |  (13, 13)  | (13, 13) |         192         |         384          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  10  |    7     |        relu       |  (13, 13)  | (13, 13) |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
|  11  |    8     |       conv2d      |  (13, 13)  | (13, 13) |         384         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  12  |    9     |        relu       |  (13, 13)  | (13, 13) |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  13  |    10    |       conv2d      |  (13, 13)  | (13, 13) |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  14  |    11    |        relu       |  (13, 13)  | (13, 13) |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  15  |    12    |     maxpool2d     |  (13, 13)  |  (6, 6)  |         256         |         256          |      3      |   2    |    0    |   1    |   1   |
|  17  |    13    | adaptiveavgpool2d |   (6, 6)   |  (6, 6)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  20  |    14    |       linear      |   (1, 1)   |  (1, 1)  |         9216        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  21  |    15    |        relu       |   (1, 1)   |  (1, 1)  |         4096        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  23  |    16    |       linear      |   (1, 1)   |  (1, 1)  |         4096        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  24  |    17    |        relu       |   (1, 1)   |  (1, 1)  |         4096        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  25  |    18    |       linear      |   (1, 1)   |  (1, 1)  |         4096        |         1000         |      -      |   -    |    -    |   1    |   1   |
+------+----------+-------------------+------------+----------+---------------------+----------------------+-------------+--------+---------+--------+-------+
