+------+----------+-----------------+-----------+----------+---------------------+----------------------+-------------+--------+----------+--------+-------+
| line | layer_no |    layer_type   |  in_size  | out_size | in_channel/features | out_channel/features | kernel_size | stride | padding  | groups | count |
+------+----------+-----------------+-----------+----------+---------------------+----------------------+-------------+--------+----------+--------+-------+
|  2   |    0     |      conv1d     | (175, 95) | (22, 12) |          1          |         512          |   (16, 1)   | (8, 1) |  (8, 1)  |   1    |   1   |
|  5   |    1     |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  9   |    2     |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  10  |    3     |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
|  12  |    4     |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (1, 1)  |  512   |   1   |
|  13  |    5     |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
|  16  |    6     |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  17  |    7     |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  21  |    8     |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  22  |    9     |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
|  24  |    10    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (2, 1)  |  512   |   1   |
|  25  |    11    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
|  28  |    12    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  29  |    13    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  33  |    14    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  34  |    15    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
|  36  |    16    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (4, 1)  |  512   |   1   |
|  37  |    17    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
|  40  |    18    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  41  |    19    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  45  |    20    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  46  |    21    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
|  48  |    22    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (8, 1)  |  512   |   1   |
|  49  |    23    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
|  52  |    24    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  53  |    25    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  57  |    26    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  58  |    27    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
|  60  |    28    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) | (16, 1)  |  512   |   1   |
|  61  |    29    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
|  64  |    30    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
|  65  |    31    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
