+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  3   |    0     |   conv2d   | (224, 224) | (112, 112) |          3          |          64          |    (7, 7)   | (2, 2) |  (3, 3) |   1    |   1   |
|  5   |    1     |    relu    | (112, 112) | (112, 112) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  6   |    2     | maxpool2d  | (112, 112) |  (56, 56)  |          64         |          64          |      3      |   2    |    1    |   1    |   1   |
|  10  |    3     |    relu    |  (56, 56)  |  (56, 56)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  11  |    4     |   conv2d   |  (56, 56)  |  (56, 56)  |          64         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  13  |    5     |    relu    |  (56, 56)  |  (56, 56)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
|  14  |    6     |   conv2d   |  (56, 56)  |  (56, 56)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  18  |    7     |    relu    |  (56, 56)  |  (56, 56)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
|  19  |    8     |   conv2d   |  (56, 56)  |  (56, 56)  |          96         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  21  |    9     |    relu    |  (56, 56)  |  (56, 56)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
|  22  |    10    |   conv2d   |  (56, 56)  |  (56, 56)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  26  |    11    |    relu    |  (56, 56)  |  (56, 56)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
|  27  |    12    |   conv2d   |  (56, 56)  |  (56, 56)  |         128         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  29  |    13    |    relu    |  (56, 56)  |  (56, 56)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
|  30  |    14    |   conv2d   |  (56, 56)  |  (56, 56)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  34  |    15    |    relu    |  (56, 56)  |  (56, 56)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
|  35  |    16    |   conv2d   |  (56, 56)  |  (56, 56)  |         160         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  37  |    17    |    relu    |  (56, 56)  |  (56, 56)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
