+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  5   |    0     |   conv2d   | (224, 224) | (112, 112) |          3          |          64          |    (7, 7)   | (2, 2) |  (3, 3) |   1    |   1   |
|  7   |    1     |    relu    | (112, 112) | (112, 112) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  8   |    2     | maxpool2d  | (112, 112) |  (56, 56)  |          64         |          64          |      3      |   2    |    1    |   1    |   1   |
|  11  |    3     |   conv2d   |  (56, 56)  |  (56, 56)  |          64         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  13  |    4     |    relu    |  (56, 56)  |  (56, 56)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  14  |    5     |   conv2d   |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  17  |    6     |    relu    |  (56, 56)  |  (56, 56)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  19  |    7     |   conv2d   |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  21  |    8     |    relu    |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  23  |    9     |   conv2d   |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  28  |    10    |   conv2d   |  (56, 56)  |  (56, 56)  |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  30  |    11    |    relu    |  (56, 56)  |  (56, 56)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  31  |    12    |   conv2d   |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  34  |    13    |    relu    |  (56, 56)  |  (56, 56)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  36  |    14    |   conv2d   |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  38  |    15    |    relu    |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  41  |    16    |   conv2d   |  (56, 56)  |  (56, 56)  |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  43  |    17    |    relu    |  (56, 56)  |  (56, 56)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  44  |    18    |   conv2d   |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  47  |    19    |    relu    |  (56, 56)  |  (56, 56)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  49  |    20    |   conv2d   |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  51  |    21    |    relu    |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  56  |    22    |   conv2d   |  (56, 56)  |  (56, 56)  |         256         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  58  |    23    |    relu    |  (56, 56)  |  (56, 56)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
|  59  |    24    |   conv2d   |  (56, 56)  |  (28, 28)  |         128         |         128          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
|  62  |    25    |    relu    |  (28, 28)  |  (28, 28)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
