+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  2   |    0     | meanshift  | (224, 224) | (224, 224) |          3          |          3           |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  3   |    1     | meanshift  | (224, 224) | (224, 224) |          3          |          3           |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  5   |    2     |   conv2d   | (224, 224) | (224, 224) |          3          |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  10  |    3     |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  11  |    4     |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  12  |    5     |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  17  |    6     |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  18  |    7     |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  19  |    8     |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  24  |    9     |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  25  |    10    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  26  |    11    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  31  |    12    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  32  |    13    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  33  |    14    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  38  |    15    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  39  |    16    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  40  |    17    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  45  |    18    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  46  |    19    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  47  |    20    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  52  |    21    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  53  |    22    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  54  |    23    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  59  |    24    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  60  |    25    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  61  |    26    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  66  |    27    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  67  |    28    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  68  |    29    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  73  |    30    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  74  |    31    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  75  |    32    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  80  |    33    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  81  |    34    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  82  |    35    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  87  |    36    |   conv2d   | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  88  |    37    |    relu    | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
