+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  4   |    0     |       conv2d      | (224, 224) | (112, 112) |          3          |          32          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
|  6   |    1     |        silu       | (112, 112) | (112, 112) |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
|  12  |    2     |       conv2d      | (112, 112) | (112, 112) |          32         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   32   |   1   |
|  14  |    3     |        silu       | (112, 112) | (112, 112) |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
|  17  |    4     | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
|  18  |    5     |       conv2d      |   (1, 1)   |   (1, 1)   |          32         |          8           |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  19  |    6     |       conv2d      |   (1, 1)   |   (1, 1)   |          8          |          32          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  20  |    7     |        silu       |   (1, 1)   |   (1, 1)   |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
|  21  |    8     |      sigmoid      |   (1, 1)   |   (1, 1)   |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
|  24  |    9     |       conv2d      | (112, 112) | (112, 112) |          32         |          16          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  35  |    10    |       conv2d      | (112, 112) | (112, 112) |          16         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  37  |    11    |        silu       | (112, 112) | (112, 112) |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
|  40  |    12    |       conv2d      | (112, 112) |  (56, 56)  |          96         |          96          |    (3, 3)   | (2, 2) |  (1, 1) |   96   |   1   |
|  42  |    13    |        silu       |  (56, 56)  |  (56, 56)  |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
|  45  |    14    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
|  46  |    15    |       conv2d      |   (1, 1)   |   (1, 1)   |          96         |          4           |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  47  |    16    |       conv2d      |   (1, 1)   |   (1, 1)   |          4          |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  48  |    17    |        silu       |   (1, 1)   |   (1, 1)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
|  49  |    18    |      sigmoid      |   (1, 1)   |   (1, 1)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
