+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  3   |    0     |       conv2d      | (299, 299) | (149, 149) |          3          |          32          |    (3, 3)   | (2, 2) |  (0, 0) |   1    |   1   |
|  7   |    1     |       conv2d      | (149, 149) | (147, 147) |          32         |          32          |    (3, 3)   | (1, 1) |  (0, 0) |   1    |   1   |
|  11  |    2     |       conv2d      | (147, 147) | (147, 147) |          32         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  14  |    3     |     maxpool2d     | (147, 147) |  (73, 73)  |          64         |          64          |      3      |   2    |    0    |   1    |   1   |
|  16  |    4     |       conv2d      |  (73, 73)  |  (73, 73)  |          64         |          80          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  20  |    5     |       conv2d      |  (73, 73)  |  (71, 71)  |          80         |         192          |    (3, 3)   | (1, 1) |  (0, 0) |   1    |   1   |
|  23  |    6     |     maxpool2d     |  (71, 71)  |  (35, 35)  |         192         |         192          |      3      |   2    |    0    |   1    |   1   |
|  26  |    7     |       conv2d      |  (35, 35)  |  (35, 35)  |         192         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  30  |    8     |       conv2d      |  (35, 35)  |  (35, 35)  |         192         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  34  |    9     |       conv2d      |  (35, 35)  |  (35, 35)  |          48         |          64          |    (5, 5)   | (1, 1) |  (2, 2) |   1    |   1   |
|  38  |    10    |       conv2d      |  (35, 35)  |  (35, 35)  |         192         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  42  |    11    |       conv2d      |  (35, 35)  |  (35, 35)  |          64         |          96          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  46  |    12    |       conv2d      |  (35, 35)  |  (35, 35)  |          96         |          96          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  50  |    13    |       conv2d      |  (35, 35)  |  (35, 35)  |         192         |          32          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  56  |    14    |       conv2d      |  (35, 35)  |  (35, 35)  |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  60  |    15    |       conv2d      |  (35, 35)  |  (35, 35)  |         256         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  64  |    16    |       conv2d      |  (35, 35)  |  (35, 35)  |          48         |          64          |    (5, 5)   | (1, 1) |  (2, 2) |   1    |   1   |
|  68  |    17    |       conv2d      |  (35, 35)  |  (35, 35)  |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  72  |    18    |       conv2d      |  (35, 35)  |  (35, 35)  |          64         |          96          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  76  |    19    |       conv2d      |  (35, 35)  |  (35, 35)  |          96         |          96          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  80  |    20    |       conv2d      |  (35, 35)  |  (35, 35)  |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  86  |    21    |       conv2d      |  (35, 35)  |  (35, 35)  |         288         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  90  |    22    |       conv2d      |  (35, 35)  |  (35, 35)  |         288         |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  94  |    23    |       conv2d      |  (35, 35)  |  (35, 35)  |          48         |          64          |    (5, 5)   | (1, 1) |  (2, 2) |   1    |   1   |
|  98  |    24    |       conv2d      |  (35, 35)  |  (35, 35)  |         288         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 102  |    25    |       conv2d      |  (35, 35)  |  (35, 35)  |          64         |          96          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 106  |    26    |       conv2d      |  (35, 35)  |  (35, 35)  |          96         |          96          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 110  |    27    |       conv2d      |  (35, 35)  |  (35, 35)  |         288         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 116  |    28    |       conv2d      |  (35, 35)  |  (17, 17)  |         288         |         384          |    (3, 3)   | (2, 2) |  (0, 0) |   1    |   1   |
| 120  |    29    |       conv2d      |  (17, 17)  |  (17, 17)  |         288         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 124  |    30    |       conv2d      |  (17, 17)  |  (17, 17)  |          64         |          96          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 128  |    31    |       conv2d      |  (17, 17)  |   (8, 8)   |          96         |          96          |    (3, 3)   | (2, 2) |  (0, 0) |   1    |   1   |
| 134  |    32    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 138  |    33    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 142  |    34    |       conv2d      |   (8, 8)   |   (8, 8)   |         128         |         128          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 146  |    35    |       conv2d      |   (8, 8)   |   (8, 8)   |         128         |         192          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 150  |    36    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 154  |    37    |       conv2d      |   (8, 8)   |   (8, 8)   |         128         |         128          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 158  |    38    |       conv2d      |   (8, 8)   |   (8, 8)   |         128         |         128          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 162  |    39    |       conv2d      |   (8, 8)   |   (8, 8)   |         128         |         128          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 166  |    40    |       conv2d      |   (8, 8)   |   (8, 8)   |         128         |         192          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 170  |    41    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 176  |    42    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 180  |    43    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         160          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 184  |    44    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         160          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 188  |    45    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         192          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 192  |    46    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         160          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 196  |    47    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         160          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 200  |    48    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         160          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 204  |    49    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         160          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 208  |    50    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         192          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 212  |    51    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 218  |    52    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 222  |    53    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         160          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 226  |    54    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         160          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 230  |    55    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         192          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 234  |    56    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         160          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 238  |    57    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         160          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 242  |    58    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         160          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 246  |    59    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         160          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 250  |    60    |       conv2d      |   (8, 8)   |   (8, 8)   |         160         |         192          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 254  |    61    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 260  |    62    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 264  |    63    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 268  |    64    |       conv2d      |   (8, 8)   |   (8, 8)   |         192         |         192          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 272  |    65    |       conv2d      |   (8, 8)   |   (8, 8)   |         192         |         192          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 276  |    66    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 280  |    67    |       conv2d      |   (8, 8)   |   (8, 8)   |         192         |         192          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 284  |    68    |       conv2d      |   (8, 8)   |   (8, 8)   |         192         |         192          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 288  |    69    |       conv2d      |   (8, 8)   |   (8, 8)   |         192         |         192          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 292  |    70    |       conv2d      |   (8, 8)   |   (8, 8)   |         192         |         192          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 296  |    71    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 302  |    72    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 306  |    73    |       conv2d      |   (8, 8)   |   (4, 4)   |         128         |         768          |    (5, 5)   | (1, 1) |  (0, 0) |   1    |   1   |
| 309  |    74    |       linear      |   (1, 1)   |   (1, 1)   |         768         |         1000         |      -      |   -    |    -    |   1    |   1   |
| 313  |    75    |       conv2d      |  (17, 17)  |  (17, 17)  |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 317  |    76    |       conv2d      |  (17, 17)  |   (8, 8)   |         192         |         320          |    (3, 3)   | (2, 2) |  (0, 0) |   1    |   1   |
| 321  |    77    |       conv2d      |   (8, 8)   |   (8, 8)   |         768         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 325  |    78    |       conv2d      |   (8, 8)   |   (8, 8)   |         192         |         192          |    (1, 7)   | (1, 1) |  (0, 3) |   1    |   1   |
| 329  |    79    |       conv2d      |   (8, 8)   |   (8, 8)   |         192         |         192          |    (7, 1)   | (1, 1) |  (3, 0) |   1    |   1   |
| 333  |    80    |       conv2d      |   (8, 8)   |   (3, 3)   |         192         |         192          |    (3, 3)   | (2, 2) |  (0, 0) |   1    |   1   |
| 339  |    81    |       conv2d      |   (3, 3)   |   (3, 3)   |         1280        |         320          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
