+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  4   |    0     |   conv2d   | (224, 224) | (112, 112) |          3          |          32          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
|  6   |    1     |   relu6    | (112, 112) | (112, 112) |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
|  11  |    2     |   conv2d   | (112, 112) | (112, 112) |          32         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   32   |   1   |
|  13  |    3     |   relu6    | (112, 112) | (112, 112) |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
|  15  |    4     |   conv2d   | (112, 112) | (112, 112) |          32         |          16          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  22  |    5     |   conv2d   | (112, 112) | (112, 112) |          16         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  24  |    6     |   relu6    | (112, 112) | (112, 112) |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
|  27  |    7     |   conv2d   | (112, 112) |  (56, 56)  |          96         |          96          |    (3, 3)   | (2, 2) |  (1, 1) |   96   |   1   |
|  29  |    8     |   relu6    |  (56, 56)  |  (56, 56)  |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
|  31  |    9     |   conv2d   |  (56, 56)  |  (56, 56)  |          96         |          24          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  38  |    10    |   conv2d   |  (56, 56)  |  (56, 56)  |          24         |         144          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  40  |    11    |   relu6    |  (56, 56)  |  (56, 56)  |         144         |         144          |      -      |   -    |    -    |   1    |   1   |
|  43  |    12    |   conv2d   |  (56, 56)  |  (56, 56)  |         144         |         144          |    (3, 3)   | (1, 1) |  (1, 1) |  144   |   1   |
|  45  |    13    |   relu6    |  (56, 56)  |  (56, 56)  |         144         |         144          |      -      |   -    |    -    |   1    |   1   |
|  47  |    14    |   conv2d   |  (56, 56)  |  (56, 56)  |         144         |          24          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  54  |    15    |   conv2d   |  (56, 56)  |  (56, 56)  |          24         |         144          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  56  |    16    |   relu6    |  (56, 56)  |  (56, 56)  |         144         |         144          |      -      |   -    |    -    |   1    |   1   |
|  59  |    17    |   conv2d   |  (56, 56)  |  (28, 28)  |         144         |         144          |    (3, 3)   | (2, 2) |  (1, 1) |  144   |   1   |
|  61  |    18    |   relu6    |  (28, 28)  |  (28, 28)  |         144         |         144          |      -      |   -    |    -    |   1    |   1   |
