+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  3   |    0     |   conv2d   | (224, 224) | (112, 112) |          3          |          16          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
|  5   |    1     |    silu    | (112, 112) | (112, 112) |          16         |          16          |      -      |   -    |    -    |   1    |   1   |
|  13  |    2     |   conv2d   | (112, 112) | (112, 112) |          16         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  15  |    3     |    silu    | (112, 112) | (112, 112) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  18  |    4     |   conv2d   | (112, 112) | (112, 112) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   64   |   1   |
|  20  |    5     |    silu    | (112, 112) | (112, 112) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  23  |    6     |   conv2d   | (112, 112) | (112, 112) |          64         |          32          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  33  |    7     |   conv2d   | (112, 112) | (112, 112) |          32         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  35  |    8     |    silu    | (112, 112) | (112, 112) |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
|  38  |    9     |   conv2d   | (112, 112) |  (56, 56)  |         128         |         128          |    (3, 3)   | (2, 2) |  (1, 1) |  128   |   1   |
|  40  |    10    |    silu    |  (56, 56)  |  (56, 56)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
|  43  |    11    |   conv2d   |  (56, 56)  |  (56, 56)  |         128         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  49  |    12    |   conv2d   |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   2   |
|  51  |    13    |    silu    |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   2   |
|  54  |    14    |   conv2d   |  (56, 56)  |  (56, 56)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |  256   |   2   |
|  56  |    15    |    silu    |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   2   |
|  59  |    16    |   conv2d   |  (56, 56)  |  (56, 56)  |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   2   |
|  68  |    17    |   conv2d   |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  70  |    18    |    silu    |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  73  |    19    |   conv2d   |  (56, 56)  |  (28, 28)  |         256         |         256          |    (3, 3)   | (2, 2) |  (1, 1) |  256   |   1   |
|  75  |    20    |    silu    |  (28, 28)  |  (28, 28)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
