+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | count |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+-------+
|  4   |    0     |       conv2d      | (224, 224) | (112, 112) |          14         |          32          |    (3, 3)   | (2, 2) |  (1, 1) |   1   |
|  6   |    1     |        relu       | (112, 112) | (112, 112) |          32         |          32          |      -      |   -    |    -    |   1   |
|  7   |    2     |       conv2d      | (112, 112) | (112, 112) |          32         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1   |
|  9   |    3     |        relu       | (112, 112) | (112, 112) |          32         |          32          |      -      |   -    |    -    |   1   |
|  10  |    4     |       conv2d      | (112, 112) | (112, 112) |          32         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1   |
|  12  |    5     |        relu       | (112, 112) | (112, 112) |          64         |          64          |      -      |   -    |    -    |   1   |
|  14  |    6     |     maxpool2d     | (112, 112) |  (56, 56)  |          64         |          64          |      3      |   2    |    1    |   1   |
|  17  |    7     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  19  |    8     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1   |
|  21  |    9     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  23  |    10    |        relu       |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1   |
|  25  |    11    |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  30  |    12    |       conv2d      |  (56, 56)  |  (56, 56)  |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  32  |    13    |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1   |
|  34  |    14    |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  36  |    15    |        relu       |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1   |
|  39  |    16    |       conv2d      |  (56, 56)  |  (56, 56)  |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  41  |    17    |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1   |
|  43  |    18    |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  45  |    19    |        relu       |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1   |
|  50  |    20    |       conv2d      |  (56, 56)  |  (56, 56)  |         256         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  52  |    21    |       conv2d      |  (56, 56)  |  (28, 28)  |         128         |         128          |    (3, 3)   | (2, 2) |  (1, 1) |   1   |
|  54  |    22    |       conv2d      |  (28, 28)  |  (28, 28)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  56  |    23    |        relu       |  (28, 28)  |  (28, 28)  |         512         |         512          |      -      |   -    |    -    |   1   |
|  58  |    24    |       conv2d      |  (28, 28)  |  (14, 14)  |         256         |         512          |    (1, 1)   | (2, 2) |  (0, 0) |   1   |
|  63  |    25    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  65  |    26    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1   |
|  67  |    27    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  69  |    28    |        relu       |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1   |
|  72  |    29    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  74  |    30    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1   |
|  76  |    31    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  78  |    32    |        relu       |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1   |
|  81  |    33    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  83  |    34    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1   |
|  85  |    35    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  87  |    36    |        relu       |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1   |
|  92  |    37    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  94  |    38    |       conv2d      |  (14, 14)  |  (14, 14)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1   |
|  96  |    39    |       conv2d      |  (14, 14)  |  (14, 14)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
|  98  |    40    |        relu       |  (14, 14)  |  (14, 14)  |         1024        |         1024         |      -      |   -    |    -    |   1   |
| 100  |    41    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
