+------+----------+------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |    layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  3   |    0     |      conv2d      | (480, 640) | (480, 640) |         256         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  4   |    1     |      conv2d      | (480, 640) | (480, 640) |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  5   |    2     |      conv2d      | (480, 640) | (480, 640) |         512         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  6   |    3     |      conv2d      | (480, 640) | (480, 640) |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  7   |    4     |      conv2d      | (480, 640) | (480, 640) |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  8   |    5     |      conv2d      | (480, 640) | (480, 640) |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  9   |    6     |      conv2d      | (480, 640) | (480, 640) |         2048        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  10  |    7     |      conv2d      | (480, 640) | (480, 640) |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  11  |    8     | lastlevelmaxpool | (480, 640) | (480, 640) |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  14  |    9     |      conv2d      | (480, 640) | (240, 320) |          3          |          64          |    (7, 7)   | (2, 2) |  (3, 3) |   1    |   1   |
|  20  |    10    |      conv2d      | (240, 320) | (240, 320) |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  23  |    11    |      conv2d      | (240, 320) | (240, 320) |          64         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  26  |    12    |      conv2d      | (240, 320) | (240, 320) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  29  |    13    |      conv2d      | (240, 320) | (240, 320) |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  34  |    14    |      conv2d      | (240, 320) | (240, 320) |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  37  |    15    |      conv2d      | (240, 320) | (240, 320) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  40  |    16    |      conv2d      | (240, 320) | (240, 320) |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  45  |    17    |      conv2d      | (240, 320) | (240, 320) |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  48  |    18    |      conv2d      | (240, 320) | (240, 320) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  51  |    19    |      conv2d      | (240, 320) | (240, 320) |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  58  |    20    |      conv2d      | (240, 320) | (120, 160) |         256         |         512          |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
|  61  |    21    |      conv2d      | (120, 160) |  (60, 80)  |         256         |         128          |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
|  64  |    22    |      conv2d      |  (60, 80)  |  (60, 80)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  67  |    23    |      conv2d      |  (60, 80)  |  (60, 80)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  72  |    24    |      conv2d      |  (60, 80)  |  (60, 80)  |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  75  |    25    |      conv2d      |  (60, 80)  |  (60, 80)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  78  |    26    |      conv2d      |  (60, 80)  |  (60, 80)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  83  |    27    |      conv2d      |  (60, 80)  |  (60, 80)  |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  86  |    28    |      conv2d      |  (60, 80)  |  (60, 80)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
