+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  2   |    0     |       conv2d      | (224, 224) | (112, 112) |          3          |          64          |    (7, 7)   | (2, 2) |  (3, 3) |   1    |   1   |
|  4   |    1     |        relu       | (112, 112) | (112, 112) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  5   |    2     |     maxpool2d     | (112, 112) |  (56, 56)  |          64         |          64          |      3      |   2    |    1    |   1    |   1   |
|  8   |    3     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  10  |    4     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  12  |    5     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  14  |    6     |        relu       |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  16  |    7     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  21  |    8     |       conv2d      |  (56, 56)  |  (56, 56)  |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  23  |    9     |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  25  |    10    |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  27  |    11    |        relu       |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  30  |    12    |       conv2d      |  (56, 56)  |  (56, 56)  |         256         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  32  |    13    |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  34  |    14    |       conv2d      |  (56, 56)  |  (56, 56)  |          64         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  36  |    15    |        relu       |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  41  |    16    |       conv2d      |  (56, 56)  |  (56, 56)  |         256         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  43  |    17    |       conv2d      |  (56, 56)  |  (28, 28)  |         128         |         128          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
|  45  |    18    |       conv2d      |  (28, 28)  |  (28, 28)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  47  |    19    |        relu       |  (28, 28)  |  (28, 28)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  49  |    20    |       conv2d      |  (28, 28)  |  (14, 14)  |         256         |         512          |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
|  54  |    21    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  56  |    22    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  58  |    23    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  60  |    24    |        relu       |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  63  |    25    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  65  |    26    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  67  |    27    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  69  |    28    |        relu       |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  72  |    29    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  74  |    30    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  76  |    31    |       conv2d      |  (14, 14)  |  (14, 14)  |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  78  |    32    |        relu       |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  83  |    33    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  85  |    34    |       conv2d      |  (14, 14)  |   (7, 7)   |         256         |         256          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
|  87  |    35    |       conv2d      |   (7, 7)   |   (7, 7)   |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  89  |    36    |        relu       |   (7, 7)   |   (7, 7)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
|  91  |    37    |       conv2d      |   (7, 7)   |   (4, 4)   |         512         |         1024         |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
|  96  |    38    |       conv2d      |   (4, 4)   |   (4, 4)   |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
