+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  3   |    0     |   conv2d   | (224, 224) | (112, 112) |          3          |          24          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
|  5   |    1     |    relu    | (112, 112) | (112, 112) |          24         |          24          |      -      |   -    |    -    |   1    |   1   |
|  7   |    2     | maxpool2d  | (112, 112) |  (56, 56)  |          24         |          24          |      3      |   2    |    1    |   1    |   1   |
|  11  |    3     |   conv2d   |  (56, 56)  |  (28, 28)  |          24         |          24          |    (3, 3)   | (2, 2) |  (1, 1) |   24   |   1   |
|  13  |    4     |   conv2d   |  (28, 28)  |  (28, 28)  |          24         |          24          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  15  |    5     |    relu    |  (28, 28)  |  (28, 28)  |          24         |          24          |      -      |   -    |    -    |   1    |   1   |
|  18  |    6     |   conv2d   |  (28, 28)  |  (28, 28)  |          24         |          24          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  20  |    7     |    relu    |  (28, 28)  |  (28, 28)  |          24         |          24          |      -      |   -    |    -    |   1    |   1   |
|  21  |    8     |   conv2d   |  (28, 28)  |  (14, 14)  |          24         |          24          |    (3, 3)   | (2, 2) |  (1, 1) |   24   |   1   |
|  23  |    9     |   conv2d   |  (14, 14)  |  (14, 14)  |          24         |          24          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  25  |    10    |    relu    |  (14, 14)  |  (14, 14)  |          24         |          24          |      -      |   -    |    -    |   1    |   1   |
|  31  |    11    |   conv2d   |  (14, 14)  |  (14, 14)  |          24         |          24          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  33  |    12    |    relu    |  (14, 14)  |  (14, 14)  |          24         |          24          |      -      |   -    |    -    |   1    |   1   |
|  34  |    13    |   conv2d   |  (14, 14)  |  (14, 14)  |          24         |          24          |    (3, 3)   | (1, 1) |  (1, 1) |   24   |   1   |
|  36  |    14    |   conv2d   |  (14, 14)  |  (14, 14)  |          24         |          24          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  38  |    15    |    relu    |  (14, 14)  |  (14, 14)  |          24         |          24          |      -      |   -    |    -    |   1    |   1   |
|  44  |    16    |   conv2d   |  (14, 14)  |  (14, 14)  |          24         |          24          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  46  |    17    |    relu    |  (14, 14)  |  (14, 14)  |          24         |          24          |      -      |   -    |    -    |   1    |   1   |
|  47  |    18    |   conv2d   |  (14, 14)  |  (14, 14)  |          24         |          24          |    (3, 3)   | (1, 1) |  (1, 1) |   24   |   1   |
|  49  |    19    |   conv2d   |  (14, 14)  |  (14, 14)  |          24         |          24          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  51  |    20    |    relu    |  (14, 14)  |  (14, 14)  |          24         |          24          |      -      |   -    |    -    |   1    |   1   |
