+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  3   |    0     |       conv2d      | (224, 224) | (111, 111) |          3          |          64          |    (3, 3)   | (2, 2) |  (0, 0) |   1    |   1   |
|  4   |    1     |        relu       | (111, 111) | (111, 111) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  5   |    2     |     maxpool2d     | (111, 111) |  (55, 55)  |          64         |          64          |      3      |   2    |    0    |   1    |   1   |
|  7   |    3     |       conv2d      |  (55, 55)  |  (55, 55)  |          64         |          16          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  8   |    4     |        relu       |  (55, 55)  |  (55, 55)  |          16         |          16          |      -      |   -    |    -    |   1    |   1   |
|  9   |    5     |       conv2d      |  (55, 55)  |  (55, 55)  |          16         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  10  |    6     |        relu       |  (55, 55)  |  (55, 55)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  11  |    7     |       conv2d      |  (55, 55)  |  (55, 55)  |          16         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  12  |    8     |        relu       |  (55, 55)  |  (55, 55)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  15  |    9     |       conv2d      |  (55, 55)  |  (55, 55)  |         128         |          16          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  16  |    10    |        relu       |  (55, 55)  |  (55, 55)  |          16         |          16          |      -      |   -    |    -    |   1    |   1   |
|  17  |    11    |       conv2d      |  (55, 55)  |  (55, 55)  |          16         |          64          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
|  18  |    12    |        relu       |  (55, 55)  |  (55, 55)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  19  |    13    |       conv2d      |  (55, 55)  |  (55, 55)  |          16         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  20  |    14    |        relu       |  (55, 55)  |  (55, 55)  |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  22  |    15    |     maxpool2d     |  (55, 55)  |  (27, 27)  |          64         |          64          |      3      |   2    |    0    |   1    |   1   |
|  24  |    16    |       conv2d      |  (27, 27)  |  (27, 27)  |         128         |          32          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
