+------+----------+-------------------+------------+----------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   | out_size | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+-------------------+------------+----------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  4   |    0     |       conv2d      | (224, 224) | (56, 56) |          3          |          96          |    (4, 4)   | (4, 4) |  (0, 0) |   1    |   1   |
|  5   |    1     |      permute      |  (56, 56)  | (56, 56) |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
|  12  |    2     |       linear      |  (56, 56)  | (56, 56) |          96         |         288          |      -      |   -    |    -    |   1    |   1   |
|  13  |    3     |       linear      |  (56, 56)  | (56, 56) |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
|  18  |    4     |       linear      |  (56, 56)  | (56, 56) |          96         |         384          |      -      |   -    |    -    |   1    |   1   |
|  19  |    5     |        gelu       |  (56, 56)  | (56, 56) |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
|  21  |    6     |       linear      |  (56, 56)  | (56, 56) |         384         |          96          |      -      |   -    |    -    |   1    |   1   |
|  28  |    7     |       linear      |  (56, 56)  | (56, 56) |          96         |         288          |      -      |   -    |    -    |   1    |   1   |
|  29  |    8     |       linear      |  (56, 56)  | (56, 56) |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
|  34  |    9     |       linear      |  (56, 56)  | (56, 56) |          96         |         384          |      -      |   -    |    -    |   1    |   1   |
|  35  |    10    |        gelu       |  (56, 56)  | (56, 56) |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
|  37  |    11    |       linear      |  (56, 56)  | (56, 56) |         384         |          96          |      -      |   -    |    -    |   1    |   1   |
|  43  |    12    |       linear      |  (56, 56)  | (28, 28) |         384         |         192          |      -      |   -    |    -    |   1    |   1   |
|  50  |    13    |       linear      |  (28, 28)  | (28, 28) |         192         |         576          |      -      |   -    |    -    |   1    |   1   |
|  51  |    14    |       linear      |  (28, 28)  | (28, 28) |         192         |         192          |      -      |   -    |    -    |   1    |   1   |
|  56  |    15    |       linear      |  (28, 28)  | (28, 28) |         192         |         768          |      -      |   -    |    -    |   1    |   1   |
|  57  |    16    |        gelu       |  (28, 28)  | (28, 28) |         768         |         768          |      -      |   -    |    -    |   1    |   1   |
|  59  |    17    |       linear      |  (28, 28)  | (28, 28) |         768         |         192          |      -      |   -    |    -    |   1    |   1   |
|  66  |    18    |       linear      |  (28, 28)  | (28, 28) |         192         |         576          |      -      |   -    |    -    |   1    |   1   |
|  67  |    19    |       linear      |  (28, 28)  | (28, 28) |         192         |         192          |      -      |   -    |    -    |   1    |   1   |
|  72  |    20    |       linear      |  (28, 28)  | (28, 28) |         192         |         768          |      -      |   -    |    -    |   1    |   1   |
|  73  |    21    |        gelu       |  (28, 28)  | (28, 28) |         768         |         768          |      -      |   -    |    -    |   1    |   1   |
|  75  |    22    |       linear      |  (28, 28)  | (28, 28) |         768         |         192          |      -      |   -    |    -    |   1    |   1   |
|  81  |    23    |       linear      |  (28, 28)  | (14, 14) |         768         |         384          |      -      |   -    |    -    |   1    |   1   |
|  88  |    24    |       linear      |  (14, 14)  | (14, 14) |         384         |         1152         |      -      |   -    |    -    |   1    |   1   |
|  89  |    25    |       linear      |  (14, 14)  | (14, 14) |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
|  94  |    26    |       linear      |  (14, 14)  | (14, 14) |         384         |         1536         |      -      |   -    |    -    |   1    |   1   |
|  95  |    27    |        gelu       |  (14, 14)  | (14, 14) |         1536        |         1536         |      -      |   -    |    -    |   1    |   1   |
|  97  |    28    |       linear      |  (14, 14)  | (14, 14) |         1536        |         384          |      -      |   -    |    -    |   1    |   1   |
| 104  |    29    |       linear      |  (14, 14)  | (14, 14) |         384         |         1152         |      -      |   -    |    -    |   1    |   1   |
| 105  |    30    |       linear      |  (14, 14)  | (14, 14) |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
| 110  |    31    |       linear      |  (14, 14)  | (14, 14) |         384         |         1536         |      -      |   -    |    -    |   1    |   1   |
| 111  |    32    |        gelu       |  (14, 14)  | (14, 14) |         1536        |         1536         |      -      |   -    |    -    |   1    |   1   |
| 113  |    33    |       linear      |  (14, 14)  | (14, 14) |         1536        |         384          |      -      |   -    |    -    |   1    |   1   |
| 120  |    34    |       linear      |  (14, 14)  | (14, 14) |         384         |         1152         |      -      |   -    |    -    |   1    |   1   |
| 121  |    35    |       linear      |  (14, 14)  | (14, 14) |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
| 126  |    36    |       linear      |  (14, 14)  | (14, 14) |         384         |         1536         |      -      |   -    |    -    |   1    |   1   |
| 127  |    37    |        gelu       |  (14, 14)  | (14, 14) |         1536        |         1536         |      -      |   -    |    -    |   1    |   1   |
| 129  |    38    |       linear      |  (14, 14)  | (14, 14) |         1536        |         384          |      -      |   -    |    -    |   1    |   1   |
| 136  |    39    |       linear      |  (14, 14)  | (14, 14) |         384         |         1152         |      -      |   -    |    -    |   1    |   1   |
| 137  |    40    |       linear      |  (14, 14)  | (14, 14) |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
| 142  |    41    |       linear      |  (14, 14)  | (14, 14) |         384         |         1536         |      -      |   -    |    -    |   1    |   1   |
| 143  |    42    |        gelu       |  (14, 14)  | (14, 14) |         1536        |         1536         |      -      |   -    |    -    |   1    |   1   |
| 145  |    43    |       linear      |  (14, 14)  | (14, 14) |         1536        |         384          |      -      |   -    |    -    |   1    |   1   |
| 152  |    44    |       linear      |  (14, 14)  | (14, 14) |         384         |         1152         |      -      |   -    |    -    |   1    |   1   |
| 153  |    45    |       linear      |  (14, 14)  | (14, 14) |         384         |         384          |      -      |   -    |    -    |   1    |   1   |
