+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
|  3   |    0     |       conv2d      | (224, 224) | (224, 224) |          3          |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  4   |    1     |        relu       | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  5   |    2     |       conv2d      | (224, 224) | (224, 224) |          64         |          64          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  6   |    3     |        relu       | (224, 224) | (224, 224) |          64         |          64          |      -      |   -    |    -    |   1    |   1   |
|  7   |    4     |     maxpool2d     | (224, 224) | (112, 112) |          64         |          64          |      2      |   2    |    0    |   1    |   1   |
|  8   |    5     |       conv2d      | (112, 112) | (112, 112) |          64         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  9   |    6     |        relu       | (112, 112) | (112, 112) |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
|  10  |    7     |       conv2d      | (112, 112) | (112, 112) |         128         |         128          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  11  |    8     |        relu       | (112, 112) | (112, 112) |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
|  12  |    9     |     maxpool2d     | (112, 112) |  (56, 56)  |         128         |         128          |      2      |   2    |    0    |   1    |   1   |
|  13  |    10    |       conv2d      |  (56, 56)  |  (56, 56)  |         128         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  14  |    11    |        relu       |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  15  |    12    |       conv2d      |  (56, 56)  |  (56, 56)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  16  |    13    |        relu       |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  17  |    14    |       conv2d      |  (56, 56)  |  (56, 56)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  18  |    15    |        relu       |  (56, 56)  |  (56, 56)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
|  19  |    16    |     maxpool2d     |  (56, 56)  |  (28, 28)  |         256         |         256          |      2      |   2    |    0    |   1    |   1   |
|  20  |    17    |       conv2d      |  (28, 28)  |  (28, 28)  |         256         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  21  |    18    |        relu       |  (28, 28)  |  (28, 28)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  22  |    19    |       conv2d      |  (28, 28)  |  (28, 28)  |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  23  |    20    |        relu       |  (28, 28)  |  (28, 28)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  24  |    21    |       conv2d      |  (28, 28)  |  (28, 28)  |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  25  |    22    |        relu       |  (28, 28)  |  (28, 28)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  26  |    23    |     maxpool2d     |  (28, 28)  |  (14, 14)  |         512         |         512          |      2      |   2    |    0    |   1    |   1   |
|  27  |    24    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  28  |    25    |        relu       |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  29  |    26    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  30  |    27    |        relu       |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  31  |    28    |       conv2d      |  (14, 14)  |  (14, 14)  |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
|  32  |    29    |        relu       |  (14, 14)  |  (14, 14)  |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  33  |    30    |     maxpool2d     |  (14, 14)  |   (7, 7)   |         512         |         512          |      2      |   2    |    0    |   1    |   1   |
|  35  |    31    | adaptiveavgpool2d |   (7, 7)   |   (7, 7)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
|  37  |    32    |       linear      |   (1, 1)   |   (1, 1)   |        25088        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  38  |    33    |        relu       |   (1, 1)   |   (1, 1)   |         4096        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  40  |    34    |       linear      |   (1, 1)   |   (1, 1)   |         4096        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  41  |    35    |        relu       |   (1, 1)   |   (1, 1)   |         4096        |         4096         |      -      |   -    |    -    |   1    |   1   |
|  43  |    36    |       linear      |   (1, 1)   |   (1, 1)   |         4096        |         1000         |      -      |   -    |    -    |   1    |   1   |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
