+-----------------+------------+----------+---------------------+----------------------+--------------+--------------+---------+--------------------------------+
|    Layer Type   |  In Size   | Out Size | In Channel/Features | Out Channel/Features | Kernel Size  |    Stride    | Padding |         Layer Numbers          |
+-----------------+------------+----------+---------------------+----------------------+--------------+--------------+---------+--------------------------------+
|     CONV2D_1    | (224, 224) | (14, 14) |          3          |         768          | ('16', '16') | ('16', '16') |  (0, 0) |               0                |
|    DROPOUT_2    |  (14, 14)  | (14, 14) |         768         |         768          |      -       |      -       |    -    | 1, 4, 10, 13, 19, 22, 28, 31,  |
|                 |            |          |                     |                      |              |              |         |  37, 40, 46, 49, 55, 58, 64,   |
|                 |            |          |                     |                      |              |              |         |  67, 73, 76, 82, 85, 91, 94,   |
|                 |            |          |                     |                      |              |              |         |         100, 103, 109          |
|   LAYERNORM_3   |  (14, 14)  | (14, 14) |         768         |         768          |      -       |      -       |    -    | 2, 5, 11, 14, 20, 23, 29, 32,  |
|                 |            |          |                     |                      |              |              |         |  38, 41, 47, 50, 56, 59, 65,   |
|                 |            |          |                     |                      |              |              |         |  68, 74, 77, 83, 86, 92, 95,   |
|                 |            |          |                     |                      |              |              |         |         101, 104, 110          |
| NONDYNAMICALLYQ |  (14, 14)  | (14, 14) |         768         |         768          |      -       |      -       |    -    | 3, 12, 21, 30, 39, 48, 57, 66, |
| UANTIZABLELINEA |            |          |                     |                      |              |              |         |        75, 84, 93, 102         |
|       R_4       |            |          |                     |                      |              |              |         |                                |
|     LINEAR_5    |  (14, 14)  | (14, 14) |         768         |         3072         |      -       |      -       |    -    | 6, 15, 24, 33, 42, 51, 60, 69, |
|                 |            |          |                     |                      |              |              |         |        78, 87, 96, 105         |
|      GELU_6     |  (14, 14)  | (14, 14) |         3072        |         3072         |      -       |      -       |    -    | 7, 16, 25, 34, 43, 52, 61, 70, |
|                 |            |          |                     |                      |              |              |         |        79, 88, 97, 106         |
|    DROPOUT_7    |  (14, 14)  | (14, 14) |         3072        |         3072         |      -       |      -       |    -    | 8, 17, 26, 35, 44, 53, 62, 71, |
|                 |            |          |                     |                      |              |              |         |        80, 89, 98, 107         |
|     LINEAR_8    |  (14, 14)  | (14, 14) |         3072        |         768          |      -       |      -       |    -    | 9, 18, 27, 36, 45, 54, 63, 72, |
|                 |            |          |                     |                      |              |              |         |        81, 90, 99, 108         |
|     LINEAR_9    |   (1, 1)   |  (1, 1)  |         768         |         1000         |      -       |      -       |    -    |              111               |
+-----------------+------------+----------+---------------------+----------------------+--------------+--------------+---------+--------------------------------+
