+-------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
|        Layer Type       | Frequency | Input_Volume (MB) | Output_Volume (MB) | Input Degree-Connectivity | Output Degree-Connectivity | Promixity Factor | GFLOPs | Parameter_size(MB) |
+-------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
|    CONV2D_224_55_3_64   |     1     |       0.1505      |       0.1936       |             0             |             1              |       0.0        | 0.4717 |       0.0233       |
|     RELU_55_55_64_64    |     1     |       0.1936      |       0.1936       |             1             |             1              |       0.0        |  0.0   |         0          |
|  MAXPOOL2D_55_27_64_64  |     1     |       0.1936      |       0.0467       |             1             |             1              |       0.0        |  0.0   |         0          |
|   CONV2D_27_27_64_192   |     1     |       0.0467      |        0.14        |             1             |             1              |       0.0        | 0.384  |       0.3074       |
|    RELU_27_27_192_192   |     1     |        0.14       |        0.14        |             1             |             1              |       0.0        |  0.0   |         0          |
| MAXPOOL2D_27_13_192_192 |     1     |        0.14       |       0.0324       |             1             |             1              |       0.0        |  0.0   |         0          |
|   CONV2D_13_13_192_384  |     1     |       0.0324      |       0.0649       |             1             |             1              |       0.0        | 0.2243 |       0.6639       |
|    RELU_13_13_384_384   |     1     |       0.0649      |       0.0649       |             1             |             1              |       0.0        |  0.0   |         0          |
|   CONV2D_13_13_384_256  |     1     |       0.0649      |       0.0433       |             1             |             1              |       0.0        | 0.299  |       0.885        |
|    RELU_13_13_256_256   |     2     |       0.0433      |       0.0433       |             2             |             2              |       1.0        |  0.0   |         0          |
|   CONV2D_13_13_256_256  |     1     |       0.0433      |       0.0433       |             1             |             1              |       0.0        | 0.1994 |       0.5901       |
|  MAXPOOL2D_13_6_256_256 |     1     |       0.0433      |       0.0092       |             1             |             1              |       0.0        |  0.0   |         0          |
|     ADAPTIVEAVGPOOL     |     1     |       0.0092      |       0.0092       |             1             |             1              |       0.0        |  0.0   |         0          |
|      2D_6_6_256_256     |           |                   |                    |                           |                            |                  |        |                    |
|   DROPOUT_6_6_256_256   |     1     |       0.0092      |       0.0092       |             1             |             1              |       0.0        |  0.0   |         0          |
|   LINEAR_6_6_9216_4096  |     1     |       0.3318      |       0.1475       |             1             |             1              |       0.0        | 0.0755 |      37.7528       |
|    RELU_6_6_4096_4096   |     2     |       0.1475      |       0.1475       |             2             |             2              |       2.0        |  0.0   |         0          |
|  DROPOUT_6_6_4096_4096  |     1     |       0.1475      |       0.1475       |             1             |             1              |       0.0        |  0.0   |         0          |
|   LINEAR_6_6_4096_4096  |     1     |       0.1475      |       0.1475       |             1             |             1              |       0.0        | 0.0336 |      16.7813       |
|   LINEAR_6_6_4096_1000  |     1     |       0.1475      |       0.036        |             1             |             0              |       0.0        | 0.0082 |       4.097        |
|          Total          |           |                   |                    |                           |                            |                  | 1.696  |       61.101       |
+-------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
