+-------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
|        Layer Type       | Frequency | Input_Volume (MB) | Output_Volume (MB) | Input Degree-Connectivity | Output Degree-Connectivity | Promixity Factor | GFLOPs | Parameter_size(MB) |
+-------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
|   CONV2D_224_112_3_64   |     1     |       0.1505      |       0.8028       |             0             |             1              |       0.0        | 0.4471 |       0.0095       |
|    RELU_112_112_64_64   |     1     |       0.8028      |       0.8028       |             1             |             1              |       0.0        |  0.0   |         0          |
|  MAXPOOL2D_112_56_64_64 |     1     |       0.8028      |       0.2007       |             1             |             1              |       0.0        |  0.0   |         0          |
|     RELU_56_56_64_64    |     1     |       0.2007      |       0.2007       |             1             |             1              |       0.0        |  0.0   |         0          |
|   CONV2D_56_56_64_128   |     1     |       0.2007      |       0.4014       |             1             |             1              |       0.0        | 0.0551 |       0.0083       |
|    RELU_56_56_128_128   |     6     |       0.4014      |       0.4014       |             6             |             1              |       3.0        |  0.0   |         0          |
|   CONV2D_56_56_128_32   |     6     |       0.4014      |       0.1004       |             1             |             1              |       3.0        | 0.2312 |       0.0369       |
|     RELU_56_56_32_32    |     6     |       0.1004      |       0.1004       |             1             |             6              |       3.0        |  0.0   |         0          |
|   CONV2D_56_56_96_128   |     1     |       0.3011      |       0.4014       |             1             |             1              |       0.0        | 0.0827 |       0.0124       |
|   CONV2D_56_56_128_128  |     1     |       0.4014      |       0.4014       |             1             |             1              |       0.0        | 0.1102 |       0.0165       |
|   CONV2D_56_56_160_128  |     1     |       0.5018      |       0.4014       |             1             |             1              |       0.0        | 0.1378 |       0.0206       |
|   CONV2D_56_56_192_128  |     1     |       0.6021      |       0.4014       |             1             |             1              |       0.0        | 0.1653 |       0.0247       |
|   CONV2D_56_56_224_128  |     1     |       0.7025      |       0.4014       |             1             |             1              |       0.0        | 0.1929 |       0.0288       |
|   CONV2D_56_56_256_128  |     1     |       0.8028      |       0.4014       |             1             |             1              |       0.0        | 0.2205 |       0.0329       |
| AVGPOOL2D_56_28_128_128 |     1     |       0.4014      |       0.1004       |             1             |             1              |       0.0        |  0.0   |         0          |
|    RELU_28_28_128_128   |     13    |       0.1004      |       0.1004       |             13            |             2              |       4.0        |  0.0   |         0          |
|   CONV2D_28_28_128_128  |     1     |       0.1004      |       0.1004       |             1             |             1              |       0.0        | 0.0295 |       0.0165       |
|   CONV2D_28_28_128_32   |     12    |       0.1004      |       0.0251       |             1             |             1              |       4.0        | 0.0578 |       0.0369       |
|     RELU_28_28_32_32    |     12    |       0.0251      |       0.0251       |             1             |             12             |       4.0        |  0.0   |         0          |
|   CONV2D_28_28_160_128  |     1     |       0.1254      |       0.1004       |             1             |             1              |       0.0        | 0.0369 |       0.0206       |
|   CONV2D_28_28_192_128  |     1     |       0.1505      |       0.1004       |             1             |             1              |       0.0        | 0.0442 |       0.0247       |
|   CONV2D_28_28_224_128  |     1     |       0.1756      |       0.1004       |             1             |             1              |       0.0        | 0.0516 |       0.0288       |
|   CONV2D_28_28_256_128  |     1     |       0.2007      |       0.1004       |             1             |             1              |       0.0        | 0.059  |       0.0329       |
|   CONV2D_28_28_288_128  |     1     |       0.2258      |       0.1004       |             1             |             1              |       0.0        | 0.0664 |       0.037        |
|   CONV2D_28_28_320_128  |     1     |       0.2509      |       0.1004       |             1             |             1              |       0.0        | 0.0737 |       0.0411       |
|   CONV2D_28_28_352_128  |     1     |       0.276       |       0.1004       |             1             |             1              |       0.0        | 0.0811 |       0.0452       |
