+------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
|       Layer Type       | Frequency | Input_Volume (MB) | Output_Volume (MB) | Input Degree-Connectivity | Output Degree-Connectivity | Promixity Factor | GFLOPs | Parameter_size(MB) |
+------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
|  CONV2D_224_112_3_64   |     1     |       0.1505      |       0.8028       |             0             |             1              |       0.0        | 0.4471 |       0.0095       |
|   RELU_112_112_64_64   |     1     |       0.8028      |       0.8028       |             1             |             1              |       0.0        |  0.0   |         0          |
| MAXPOOL2D_112_56_64_64 |     1     |       0.8028      |       0.2007       |             1             |             1              |       0.0        |  0.0   |         0          |
|   CONV2D_56_56_64_64   |     4     |       0.2007      |       0.2007       |             3             |             3              |       1.0        | 0.2312 |       0.0369       |
|    RELU_56_56_64_64    |     2     |       0.2007      |       0.2007       |             1             |             1              |       2.0        |  0.0   |         0          |
|  CONV2D_56_28_64_128   |     1     |       0.2007      |       0.1004       |             1             |             1              |       0.0        | 0.2312 |       0.0739       |
|   RELU_28_28_128_128   |     1     |       0.1004      |       0.1004       |             1             |             1              |       0.0        |  0.0   |         0          |
|  CONV2D_28_28_128_128  |     1     |       0.1004      |       0.1004       |             1             |             1              |       0.0        | 0.2312 |       0.1476       |
|  CONV2D_28_14_64_128   |     1     |       0.0502      |       0.0251       |             1             |             1              |       0.0        | 0.0079 |       0.0083       |
|  CONV2D_14_14_128_128  |     2     |       0.0251      |       0.0251       |             2             |             2              |       1.0        | 0.0578 |       0.1476       |
|   RELU_14_14_128_128   |     1     |       0.0251      |       0.0251       |             1             |             1              |       0.0        |  0.0   |         0          |
|  CONV2D_14_7_128_256   |     1     |       0.0251      |       0.0125       |             1             |             1              |       0.0        | 0.0578 |       0.2952       |
|    RELU_7_7_256_256    |     1     |       0.0125      |       0.0125       |             1             |             1              |       0.0        |  0.0   |         0          |
|   CONV2D_7_7_256_256   |     1     |       0.0125      |       0.0125       |             1             |             1              |       0.0        | 0.0578 |       0.5901       |
|   CONV2D_7_4_128_256   |     1     |       0.0063      |       0.0041       |             1             |             1              |       0.0        | 0.0035 |       0.033        |
|   CONV2D_4_4_256_256   |     2     |       0.0041      |       0.0041       |             2             |             2              |       1.0        | 0.0189 |       0.5901       |
|    RELU_4_4_256_256    |     1     |       0.0041      |       0.0041       |             1             |             1              |       0.0        |  0.0   |         0          |
|   CONV2D_4_2_256_512   |     1     |       0.0041      |       0.002        |             1             |             1              |       0.0        | 0.0189 |       1.1802       |
|    RELU_2_2_512_512    |     1     |       0.002       |       0.002        |             1             |             1              |       0.0        |  0.0   |         0          |
|   CONV2D_2_2_512_512   |     1     |       0.002       |       0.002        |             1             |             1              |       0.0        | 0.0189 |       2.3598       |
|   CONV2D_2_1_256_512   |     1     |       0.001       |       0.0005       |             1             |             1              |       0.0        | 0.0031 |       0.1316       |
|   CONV2D_1_1_512_512   |     2     |       0.0005      |       0.0005       |             2             |             2              |       1.0        | 0.0047 |       2.3598       |
|    RELU_1_1_512_512    |     1     |       0.0005      |       0.0005       |             1             |             1              |       0.0        |  0.0   |         0          |
|    ADAPTIVEAVGPOOL     |     1     |       0.0005      |       0.0005       |             1             |             1              |       0.0        |  0.0   |         0          |
|     2D_1_1_512_512     |           |                   |                    |                           |                            |                  |        |                    |
|  LINEAR_1_1_512_1000   |     1     |       0.0005      |       0.001        |             1             |             0              |       0.0        | 0.001  |       0.513        |
|         Total          |           |                   |                    |                           |                            |                  | 1.391  |       8.477        |
+------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
