+--------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
|        Layer Type        | Frequency | Input_Volume (MB) | Output_Volume (MB) | Input Degree-Connectivity | Output Degree-Connectivity | Promixity Factor | GFLOPs | Parameter_size(MB) |
+--------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
|   CONV2D_224_224_3_64    |     1     |       0.1505      |       3.2113       |             0             |             1              |       0.0        | 0.1734 |       0.0018       |
|    RELU_224_224_64_64    |     2     |       3.2113      |       3.2113       |             2             |             2              |       1.0        |  0.0   |         0          |
|   CONV2D_224_224_64_64   |     1     |       3.2113      |       3.2113       |             1             |             1              |       0.0        | 3.6994 |       0.0369       |
| MAXPOOL2D_224_112_64_64  |     1     |       3.2113      |       0.8028       |             1             |             1              |       0.0        |  0.0   |         0          |
|  CONV2D_112_112_64_128   |     1     |       0.8028      |       1.6056       |             1             |             1              |       0.0        | 1.8497 |       0.0739       |
|   RELU_112_112_128_128   |     2     |       1.6056      |       1.6056       |             2             |             2              |       1.0        |  0.0   |         0          |
|  CONV2D_112_112_128_128  |     1     |       1.6056      |       1.6056       |             1             |             1              |       0.0        | 3.6994 |       0.1476       |
| MAXPOOL2D_112_56_128_128 |     1     |       1.6056      |       0.4014       |             1             |             1              |       0.0        |  0.0   |         0          |
|   CONV2D_56_56_128_256   |     1     |       0.4014      |       0.8028       |             1             |             1              |       0.0        | 1.8497 |       0.2952       |
|    RELU_56_56_256_256    |     3     |       0.8028      |       0.8028       |             2             |             2              |       1.0        |  0.0   |         0          |
|   CONV2D_56_56_256_256   |     2     |       0.8028      |       0.8028       |             1             |             1              |       1.0        | 3.6994 |       0.5901       |
| MAXPOOL2D_56_28_256_256  |     1     |       0.8028      |       0.2007       |             1             |             1              |       0.0        |  0.0   |         0          |
|   CONV2D_28_28_256_512   |     1     |       0.2007      |       0.4014       |             1             |             1              |       0.0        | 1.8497 |       1.1802       |
|    RELU_28_28_512_512    |     3     |       0.4014      |       0.4014       |             2             |             2              |       1.0        |  0.0   |         0          |
|   CONV2D_28_28_512_512   |     2     |       0.4014      |       0.4014       |             1             |             1              |       1.0        | 3.6994 |       2.3598       |
| MAXPOOL2D_28_14_512_512  |     1     |       0.4014      |       0.1004       |             1             |             1              |       0.0        |  0.0   |         0          |
|   CONV2D_14_14_512_512   |     3     |       0.1004      |       0.1004       |             2             |             1              |       1.0        | 0.9248 |       2.3598       |
|    RELU_14_14_512_512    |     3     |       0.1004      |       0.1004       |             1             |             2              |       1.0        |  0.0   |         0          |
|  MAXPOOL2D_14_7_512_512  |     1     |       0.1004      |       0.0251       |             1             |             1              |       0.0        |  0.0   |         0          |
|     ADAPTIVEAVGPOOL      |     1     |       0.0251      |       0.0251       |             1             |             1              |       0.0        | 0.0001 |         0          |
|      2D_7_7_512_512      |           |                   |                    |                           |                            |                  |        |                    |
|  LINEAR_1_1_25088_4096   |     1     |       0.0251      |       0.0041       |             1             |             1              |       0.0        | 0.2055 |      102.7645      |
|    RELU_1_1_4096_4096    |     2     |       0.0041      |       0.0041       |             2             |             1              |       2.0        |  0.0   |         0          |
|  DROPOUT_1_1_4096_4096   |     2     |       0.0041      |       0.0041       |             1             |             2              |       2.0        |  0.0   |         0          |
|   LINEAR_1_1_4096_4096   |     1     |       0.0041      |       0.0041       |             1             |             1              |       0.0        | 0.0336 |      16.7813       |
|   LINEAR_1_1_4096_1000   |     1     |       0.0041      |       0.001        |             1             |             0              |       0.0        | 0.0082 |       4.097        |
|          Total           |           |                   |                    |                           |                            |                  | 21.692 |      130.688       |
+--------------------------+-----------+-------------------+--------------------+---------------------------+----------------------------+------------------+--------+--------------------+
