+------------+-------------+--------------+--------+--------+---------+----------+----------------------+-------------+-------------------------+
| Node Name  | In_Channels | Out_Channels | Kernel | Stride | In Size | Out Size | Inter Node Frequency | Total Nodes | Degree of Connectivity  |
+------------+-------------+--------------+--------+--------+---------+----------+----------------------+-------------+-------------------------+
| ADAPTIVEAV |     256     |     256      |   -    |   -    |    6    |    6     |          1           |      1      |           [2]           |
| ADAPTIVEAV |     512     |     512      |   -    |   -    |    1    |    1     |          1           |      1      |           [2]           |
| ADAPTIVEAV |     512     |     512      |   -    |   -    |    7    |    7     |          1           |      1      |           [2]           |
| AVGPOOL2D  |     128     |     128      |   2    |   2    |    56   |    28    |          1           |      1      |           [2]           |
| AVGPOOL2D  |     256     |     256      |   2    |   2    |    28   |    14    |          1           |      1      |           [2]           |
| AVGPOOL2D  |     512     |     512      |   2    |   2    |    14   |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     1024    |     512      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     128     |     128      |   1    |   1    |    28   |    28    |          1           |      1      |           [1]           |
|   CONV2D   |     128     |     128      |   1    |   1    |    56   |    56    |          1           |      1      |           [2]           |
|   CONV2D   |     128     |     128      |   3    |   1    |   112   |   112    |          1           |      1      |           [1]           |
|   CONV2D   |     128     |     128      |   3    |   1    |    14   |    14    |          1           |      2      |           [3]           |
|   CONV2D   |     128     |     128      |   3    |   1    |    28   |    28    |          1           |      1      |           [2]           |
|   CONV2D   |     128     |     256      |   1    |   2    |    7    |    4     |          1           |      1      |           [2]           |
|   CONV2D   |     128     |     256      |   3    |   1    |    56   |    56    |          1           |      1      |           [2]           |
|   CONV2D   |     128     |     256      |   3    |   2    |    14   |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     128     |      32      |   3    |   1    |    14   |    14    |          1           |      24     |           [2]           |
|   CONV2D   |     128     |      32      |   3    |   1    |    28   |    28    |          1           |      12     |           [2]           |
|   CONV2D   |     128     |      32      |   3    |   1    |    56   |    56    |          1           |      6      |           [2]           |
|   CONV2D   |     128     |      32      |   3    |   1    |    7    |    7     |          1           |      16     |           [3]           |
|   CONV2D   |     160     |     128      |   1    |   1    |    28   |    28    |          1           |      1      |           [2]           |
|   CONV2D   |     160     |     128      |   1    |   1    |    56   |    56    |          1           |      1      |           [2]           |
|   CONV2D   |     192     |     128      |   1    |   1    |    28   |    28    |          1           |      1      |           [2]           |
|   CONV2D   |     192     |     128      |   1    |   1    |    56   |    56    |          1           |      1      |           [2]           |
|   CONV2D   |     192     |     384      |   3    |   1    |    13   |    13    |          1           |      1      |           [2]           |
|   CONV2D   |     224     |     128      |   1    |   1    |    28   |    28    |          1           |      1      |           [2]           |
|   CONV2D   |     224     |     128      |   1    |   1    |    56   |    56    |          1           |      1      |           [2]           |
|   CONV2D   |     256     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     256     |     128      |   1    |   1    |    28   |    28    |          1           |      1      |           [2]           |
|   CONV2D   |     256     |     128      |   1    |   1    |    56   |    56    |          1           |      1      |           [2]           |
|   CONV2D   |     256     |     256      |   3    |   1    |    13   |    13    |          1           |      1      |           [1]           |
|   CONV2D   |     256     |     256      |   3    |   1    |    4    |    4     |          1           |      2      |           [3]           |
|   CONV2D   |     256     |     256      |   3    |   1    |    56   |    56    |          1           |      2      |           [1]           |
|   CONV2D   |     256     |     256      |   3    |   1    |    7    |    7     |          1           |      1      |           [2]           |
|   CONV2D   |     256     |     512      |   1    |   2    |    2    |    1     |          1           |      1      |           [2]           |
|   CONV2D   |     256     |     512      |   3    |   1    |    28   |    28    |          1           |      1      |           [2]           |
|   CONV2D   |     256     |     512      |   3    |   2    |    4    |    2     |          1           |      1      |           [2]           |
|   CONV2D   |     288     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     288     |     128      |   1    |   1    |    28   |    28    |          1           |      1      |           [2]           |
|   CONV2D   |     320     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     320     |     128      |   1    |   1    |    28   |    28    |          1           |      1      |           [2]           |
|   CONV2D   |     352     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     352     |     128      |   1    |   1    |    28   |    28    |          1           |      1      |           [2]           |
|   CONV2D   |     384     |     128      |   1    |   1    |    14   |    14    |          1           |      1      |           [2]           |
|   CONV2D   |     384     |     128      |   1    |   1    |    28   |    28    |          1           |      1      |           [2]           |
|   CONV2D   |     384     |     256      |   3    |   1    |    13   |    13    |          1           |      1      |           [2]           |
