+------------+-------------+--------------+--------+--------+----------------------+-------------+--------------------------+
| Node Name  | In_Channels | Out_Channels | Kernel | Stride | Inter Node Frequency | Total Nodes | Degree of Connectivity   |
+------------+-------------+--------------+--------+--------+----------------------+-------------+--------------------------+
| ADAPTIVEAV |     256     |     256      |   -    |   -    |          1           |      1      |           [2]            |
| ADAPTIVEAV |     512     |     512      |   -    |   -    |          2           |      2      |          [2, 2]          |
| AVGPOOL2D  |     128     |     128      |   2    |   2    |          1           |      1      |           [2]            |
| AVGPOOL2D  |     256     |     256      |   2    |   2    |          1           |      1      |           [2]            |
| AVGPOOL2D  |     512     |     512      |   2    |   2    |          1           |      1      |           [2]            |
|   CONV2D   |     1024    |     512      |   1    |   1    |          1           |      1      |           [2]            |
|   CONV2D   |     128     |     128      |   1    |   1    |          2           |      2      |          [2, 1]          |
|   CONV2D   |     128     |     128      |   3    |   1    |          3           |      4      |        [1, 2, 3]         |
|   CONV2D   |     128     |     256      |   1    |   2    |          1           |      1      |           [2]            |
|   CONV2D   |     128     |     256      |   3    |   1    |          1           |      1      |           [2]            |
|   CONV2D   |     128     |     256      |   3    |   2    |          1           |      1      |           [2]            |
|   CONV2D   |     128     |      32      |   3    |   1    |          4           |      58     |       [2, 2, 2, 3]       |
|   CONV2D   |     160     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     192     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     192     |     384      |   3    |   1    |          1           |      1      |           [2]            |
|   CONV2D   |     224     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     256     |     128      |   1    |   1    |          3           |      3      |        [2, 2, 2]         |
|   CONV2D   |     256     |     256      |   3    |   1    |          4           |      6      |       [1, 2, 3, 1]       |
|   CONV2D   |     256     |     512      |   1    |   2    |          1           |      1      |           [2]            |
|   CONV2D   |     256     |     512      |   3    |   1    |          1           |      1      |           [2]            |
|   CONV2D   |     256     |     512      |   3    |   2    |          1           |      1      |           [2]            |
|   CONV2D   |     288     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     320     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     352     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     384     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     384     |     256      |   3    |   1    |          1           |      1      |           [2]            |
|   CONV2D   |      3      |      64      |   11   |   4    |          1           |      1      |           [1]            |
|   CONV2D   |      3      |      64      |   3    |   1    |          1           |      1      |           [1]            |
|   CONV2D   |      3      |      64      |   7    |   2    |          2           |      2      |          [1, 1]          |
|   CONV2D   |     416     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     448     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     480     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     512     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     512     |     256      |   1    |   1    |          1           |      1      |           [2]            |
|   CONV2D   |     512     |     512      |   3    |   1    |          4           |      8      |       [1, 2, 2, 3]       |
|   CONV2D   |     544     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     576     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     608     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     640     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |      64     |     128      |   1    |   1    |          1           |      1      |           [2]            |
|   CONV2D   |      64     |     128      |   1    |   2    |          1           |      1      |           [2]            |
|   CONV2D   |      64     |     128      |   3    |   1    |          1           |      1      |           [2]            |
|   CONV2D   |      64     |     128      |   3    |   2    |          1           |      1      |           [2]            |
|   CONV2D   |      64     |     192      |   5    |   1    |          1           |      1      |           [2]            |
|   CONV2D   |      64     |      64      |   3    |   1    |          2           |      5      |          [1, 5]          |
|   CONV2D   |     672     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     704     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     736     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     768     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     800     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     832     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     864     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     896     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     928     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |     960     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|   CONV2D   |      96     |     128      |   1    |   1    |          1           |      1      |           [2]            |
|   CONV2D   |     992     |     128      |   1    |   1    |          2           |      2      |          [2, 2]          |
|  DROPOUT   |     256     |     256      |   -    |   -    |          1           |      1      |           [2]            |
|  DROPOUT   |     4096    |     4096     |   -    |   -    |          2           |      3      |          [3, 2]          |
|   LINEAR   |     1024    |     1000     |   -    |   -    |          1           |      1      |           [1]            |
|   LINEAR   |    25088    |     4096     |   -    |   -    |          1           |      1      |           [2]            |
|   LINEAR   |     4096    |     1000     |   -    |   -    |          2           |      2      |          [1, 1]          |
|   LINEAR   |     4096    |     4096     |   -    |   -    |          2           |      2      |          [2, 2]          |
|   LINEAR   |     512     |     1000     |   -    |   -    |          1           |      1      |           [1]            |
|   LINEAR   |     9216    |     4096     |   -    |   -    |          1           |      1      |           [2]            |
| MAXPOOL2D  |     128     |     128      |   2    |   2    |          1           |      1      |           [2]            |
| MAXPOOL2D  |     192     |     192      |   3    |   2    |          1           |      1      |           [2]            |
| MAXPOOL2D  |     256     |     256      |   2    |   2    |          1           |      1      |           [2]            |
| MAXPOOL2D  |     256     |     256      |   3    |   2    |          1           |      1      |           [2]            |
| MAXPOOL2D  |     512     |     512      |   2    |   2    |          2           |      2      |          [2, 2]          |
| MAXPOOL2D  |      64     |      64      |   2    |   2    |          1           |      1      |           [2]            |
| MAXPOOL2D  |      64     |      64      |   3    |   2    |          3           |      3      |        [2, 2, 2]         |
|    RELU    |     128     |     128      |   -    |   -    |          7           |      63     | [3, 2, 1, 7, 14, 25, 17] |
|    RELU    |     192     |     192      |   -    |   -    |          1           |      1      |           [2]            |
|    RELU    |     256     |     256      |   -    |   -    |          5           |      8      |     [3, 2, 1, 3, 2]      |
|    RELU    |      32     |      32      |   -    |   -    |          4           |      57     |     [7, 13, 25, 16]      |
|    RELU    |     384     |     384      |   -    |   -    |          1           |      1      |           [2]            |
|    RELU    |     4096    |     4096     |   -    |   -    |          2           |      4      |          [3, 4]          |
|    RELU    |     512     |     512      |   -    |   -    |          5           |      9      |     [3, 2, 2, 1, 2]      |
|    RELU    |      64     |      64      |   -    |   -    |          6           |      8      |    [3, 2, 1, 2, 2, 2]    |
+------------+-------------+--------------+--------+--------+----------------------+-------------+--------------------------+
